position,target,probe_id,pair_index,pair_id,sentence_id,doc_id,source_words,rewrite_words,source_token_len,rewrite_token_len,target_token_id,source_type_count,seq_len,source_mass,target_prob,source_to_target_mass_ratio,target_rank,top10_ids,top10_probs,top1_in_source,top10_source_hits,arm,arch,role,seed,checkpoint
80,249,misfire:19:9:president f.w. de klerk`s government passed a law a few months ago that took eff,19,president f.w. de klerk`s government passed a law a few months ago that took eff,21880,10732,43,41,70,66,249,58,138,0.7926284670829773,0.0025668132584542036,308.79864924817986,10,14226 1255 15020 9830 2110 11943 10673 674 13240 249,0.79211336 0.010674543 0.005691113 0.004489731 0.0044404217 0.004152196 0.0037399412 0.0029292812 0.0026082653 0.0025668133,1,1,D_C_43122,D,C,43122,chck_100M
99,249,misfire:19:28:president f.w. de klerk`s government passed a law a few months ago that took eff,19,president f.w. de klerk`s government passed a law a few months ago that took eff,21880,10732,43,41,70,66,249,58,138,0.2223266214132309,0.17609308660030365,1.262551674830189,1,249 14226 765 11 18 4612 231 276 412 223,0.17609309 0.15412538 0.075681105 0.066776045 0.044258595 0.021216244 0.01380406 0.013671344 0.010883049 0.010274313,0,3,D_C_43122,D,C,43122,chck_100M
66,8827,"misfire:20:0:under the new law, which takes effect may 1, 2013, all sewage discharges, includ",20,"under the new law, which takes effect may 1, 2013, all sewage discharges, includ",34355,2344,46,27,65,41,8827,48,108,0.007937327958643436,0.26610463857650757,0.0298278451706184,1,8827 6640 1029 14875 13259 8788 5810 4664 7493 8953,0.26610464 0.059054196 0.041967489 0.022260236 0.02136015 0.016021112 0.015443704 0.013837945 0.012929777 0.010883966,0,0,D_C_43122,D,C,43122,chck_100M
100,15896,"misfire:20:34:under the new law, which takes effect may 1, 2013, all sewage discharges, includ",20,"under the new law, which takes effect may 1, 2013, all sewage discharges, includ",34355,2344,46,27,65,41,15896,48,108,0.12968513369560242,1.8990343960467726e-05,6829.003938294561,2258,223 310 684 389 16 276 875 487 262 2173,0.049393579 0.029629577 0.027982257 0.023358257 0.022672571 0.021893825 0.020867977 0.020838356 0.019612046 0.01813036,1,4,D_C_43122,D,C,43122,chck_100M
53,249,"misfire:21:3:the cell body or soma, can be known as the ""factory"" of the neuron this is becau",21,"the cell body or soma, can be known as the ""factory"" of the neuron this is becau",58718,9042,34,18,49,31,249,44,82,0.4857461750507355,0.02766513265669346,17.558064191433086,5,419 542 262 4077 249 6778 1808 195 223 192,0.24541911 0.078829795 0.073983073 0.029121166 0.027665133 0.022613499 0.019658251 0.017326428 0.016650386 0.01593424,1,6,D_C_43122,D,C,43122,chck_100M
74,6053,"misfire:21:24:the cell body or soma, can be known as the ""factory"" of the neuron this is becau",21,"the cell body or soma, can be known as the ""factory"" of the neuron this is becau",58718,9042,34,18,49,31,6053,44,82,0.2860933840274811,1.0449314686411526e-05,27379.15285482999,993,231 2435 310 419 409 223 589 228 932 276,0.2908662 0.090102278 0.083701022 0.082444541 0.070586585 0.062710166 0.042502645 0.028590335 0.018712003 0.015943861,0,4,D_C_43122,D,C,43122,chck_100M
57,3626,misfire:22:15:in january 1782 rutledge resigned the governorship and became a member of the lo,22,in january 1782 rutledge resigned the governorship and became a member of the lo,49531,12423,27,15,41,31,3626,38,74,0.20622988045215607,0.001097842468880117,187.8501572839738,74,231 315 228 195 10034 388 2435 223 310 276,0.13657609 0.10958552 0.083797425 0.077073626 0.072810426 0.053933166 0.050687607 0.021812072 0.01322308 0.01286419,0,4,D_C_43122,D,C,43122,chck_100M
64,4930,misfire:22:22:in january 1782 rutledge resigned the governorship and became a member of the lo,22,in january 1782 rutledge resigned the governorship and became a member of the lo,49531,12423,27,15,41,31,4930,38,74,0.44577521085739136,0.019700299948453903,22.627838765083176,5,276 231 302 223 4930 250 1941 1208 2276 5178,0.40566963 0.07678397 0.048873842 0.029622769 0.0197003 0.015231607 0.013149037 0.012504241 0.011957352 0.011424322,1,2,D_C_43122,D,C,43122,chck_100M
41,1123,misfire:23:0:the defence system was formed gradually.archaeologists believed that the predece,23,the defence system was formed gradually.archaeologists believed that the predece,35015,6049,28,16,40,27,1123,34,69,0.08923663944005966,0.000403906888095662,220.9336905859469,242,327 86 261 362 499 349 335 287 1163 273,0.09109512 0.082768105 0.049626138 0.044641826 0.030192375 0.029486982 0.026790882 0.020026427 0.019797131 0.015127252,0,1,D_C_43122,D,C,43122,chck_100M
50,249,misfire:23:9:the defence system was formed gradually.archaeologists believed that the predece,23,the defence system was formed gradually.archaeologists believed that the predece,35015,6049,28,16,40,27,249,34,69,0.7029712200164795,0.00646973866969347,108.65527278705147,13,265 195 262 192 374 223 419 542 228 1514,0.39326403 0.25392294 0.045502864 0.029431919 0.026946601 0.026898256 0.024097579 0.019454256 0.019449692 0.018907825,1,4,D_C_43122,D,C,43122,chck_100M
102,381,"misfire:25:37:mahatma karamchand gandhi, born on october 2, 1869, in india was raised in a mer",25,"mahatma karamchand gandhi, born on october 2, 1869, in india was raised in a mer",16456,13577,38,22,64,44,381,52,110,0.16464421153068542,0.008796426467597485,18.717170221017458,19,3431 16 1836 1775 871 223 8456 1427 231 1344,0.14163561 0.089192517 0.030166289 0.025909487 0.022388497 0.021314187 0.018080788 0.017403219 0.01647369 0.014442959,0,4,D_C_43122,D,C,43122,chck_100M
77,3626,"misfire:26:12:on november 3, 1899, he became a member of the crew of the gunboat, uss helena, ",26,"on november 3, 1899, he became a member of the crew of the gunboat, uss helena, ",7106,4488,42,27,64,46,3626,45,112,0.09140428900718689,0.10121423006057739,0.9030774521772365,1,3626 1514 1073 7101 265 1053 4301 6436 952 8179,0.10121423 0.056719586 0.055043761 0.038829714 0.03009825 0.029543525 0.025639381 0.022999484 0.02223528 0.02007911,0,2,D_C_43122,D,C,43122,chck_100M
92,5824,"misfire:26:27:on november 3, 1899, he became a member of the crew of the gunboat, uss helena, ",26,"on november 3, 1899, he became a member of the crew of the gunboat, uss helena, ",7106,4488,42,27,64,46,5824,45,112,0.4015979468822479,0.0235299002379179,17.06755841807956,6,10169 13168 1361 2556 7867 5824 11532 9341 436 10517,0.4010784 0.081991091 0.051069994 0.033349063 0.026875703 0.0235299 0.015221499 0.01352499 0.013419021 0.01126904,1,1,D_C_43122,D,C,43122,chck_100M
61,811,"misfire:27:0:unfortunately, the contagious period for chickenpox is 1 to 2 days before the ap",27,"unfortunately, the contagious period for chickenpox is 1 to 2 days before the ap",6297,5454,43,20,60,31,811,52,93,0.07323256880044937,0.00114286073949188,64.07829604244594,115,1482 276 1203 2453 777 308 1243 4139 2856 287,0.09971147 0.052991021 0.048984617 0.030501295 0.030488076 0.026585478 0.019562963 0.01418912 0.013987929 0.010988506,0,1,D_C_43122,D,C,43122,chck_100M
87,369,"misfire:27:26:unfortunately, the contagious period for chickenpox is 1 to 2 days before the ap",27,"unfortunately, the contagious period for chickenpox is 1 to 2 days before the ap",6297,5454,43,20,60,31,369,52,93,0.009073678404092789,0.06357359141111374,0.1427271639479307,3,498 1400 369 6037 2979 684 4549 9211 995 976,0.64240432 0.16562942 0.063573591 0.035858981 0.013671533 0.0080194157 0.0072841169 0.0066394019 0.0027570031 0.0026849306,0,1,D_C_43122,D,C,43122,chck_100M
61,684,"misfire:28:8:therefore, control and security are paramount. - your business is part of an ind",28,"therefore, control and security are paramount. - your business is part of an ind",57464,11739,44,27,52,34,684,42,88,0.6093459129333496,0.11081112921237946,5.498959511237212,3,223 16 684 253 2182 545 487 231 2856 354,0.33588353 0.13523068 0.11081113 0.089178286 0.028114628 0.015919099 0.015548985 0.013887336 0.012526673 0.012349108,1,4,D_C_43122,D,C,43122,chck_100M
82,15886,"misfire:28:29:therefore, control and security are paramount. - your business is part of an ind",28,"therefore, control and security are paramount. - your business is part of an ind",57464,11739,44,27,52,34,15886,42,88,0.19721005856990814,4.308893403504044e-05,4576.814511343784,1725,16 192 195 4586 17 228 3147 270 30 1216,0.070728287 0.064307638 0.04588905 0.04147118 0.038080961 0.035369169 0.020398576 0.016098874 0.013476021 0.011214425,1,3,D_C_43122,D,C,43122,chck_100M
68,3348,"misfire:29:2:the study, using molecular biological approaches and long-term alcohol feeding o",29,"the study, using molecular biological approaches and long-term alcohol feeding o",38651,11810,46,23,65,35,3348,54,102,0.0824412927031517,0.28507938981056213,0.28918713751258796,1,3348 11523 9989 262 11111 4372 3339 1185 1550 4424,0.28507939 0.11752383 0.096441247 0.077498928 0.065208629 0.049653169 0.036689617 0.020839049 0.015623303 0.0083845919,0,1,D_C_43122,D,C,43122,chck_100M
94,8411,"misfire:29:28:the study, using molecular biological approaches and long-term alcohol feeding o",29,"the study, using molecular biological approaches and long-term alcohol feeding o",38651,11810,46,23,65,35,8411,54,102,0.23089799284934998,2.442457844153978e-05,9453.509848778118,1731,8432 7233 11363 13819 11201 7616 5497 3703 4620 1269,0.12924553 0.11015175 0.096861929 0.029962076 0.02162919 0.018700842 0.016953615 0.01681174 0.016521985 0.014718296,0,3,D_C_43122,D,C,43122,chck_100M
30,5572,misfire:30:7:beneath the portrait is the year 1869 signifying the date the city was incorpora,30,beneath the portrait is the year 1869 signifying the date the city was incorpora,46439,3147,14,10,22,17,5572,19,41,0.07289126515388489,0.0003728867741301656,195.47827976446368,154,228 9989 262 11523 1550 7784 3348 302 5072 16,0.2648637 0.097663514 0.069238745 0.06382028 0.040038079 0.036878198 0.024150392 0.020394685 0.018416701 0.017949564,0,1,D_C_43122,D,C,43122,chck_100M
38,378,misfire:30:15:beneath the portrait is the year 1869 signifying the date the city was incorpora,30,beneath the portrait is the year 1869 signifying the date the city was incorpora,46439,3147,14,10,22,17,378,19,41,0.009140709415078163,0.02255290001630783,0.40530084416942325,1,378 87 4494 14761 2581 1792 4759 9014 3573 3280,0.0225529 0.017072126 0.015948143 0.015696367 0.01275251 0.01093768 0.0097215893 0.0088342894 0.0087896455 0.008724967,0,0,D_C_43122,D,C,43122,chck_100M
43,3626,"misfire:32:13:1996 -the college became a part of the texas a&m system on september 1, 1996
on ",32,"1996 -the college became a part of the texas a&m system on september 1, 1996
on ",20302,199,15,11,29,21,3626,21,52,0.4326908588409424,0.2190253585577011,1.9755285949090329,2,1514 3626 952 3652 7101 6835 11025 4301 2060 721,0.42855039 0.21902536 0.023285363 0.019990651 0.01904976 0.012059775 0.011611993 0.0086568063 0.0083676269 0.0080817537,1,1,D_C_43122,D,C,43122,chck_100M
26,1767,misfire:33:4:lightning may also be produced in snowstorms or in ash clouds created by volcani,33,lightning may also be produced in snowstorms or in ash clouds created by volcani,13387,2754,15,10,21,15,1767,20,38,0.09233282506465912,0.004621450323611498,19.97918804686065,32,2683 259 3231 5008 1880 2525 12093 793 4269 3127,0.11081702 0.069422357 0.055491451 0.054708619 0.036228497 0.025743684 0.023914788 0.023659693 0.020741437 0.018118437,0,2,D_C_43122,D,C,43122,chck_100M
18,4148,misfire:34:0:still more books have been published about various aspects of life since this co,34,still more books have been published about various aspects of life since this co,44625,3037,16,12,17,13,4148,17,32,0.006871785037219524,0.08748273551464081,0.07855018475124713,3,4517 308 4148 2203 1877 11647 3558 2911 3483 6270,0.29349461 0.15741083 0.087482736 0.057011075 0.048082549 0.041168541 0.033944216 0.027757911 0.015301405 0.009632471,0,0,D_C_43122,D,C,43122,chck_100M
38,1554,misfire:35:9:nasa's mars program suffered deep cuts in president barack obama's proposed 2013,35,nasa's mars program suffered deep cuts in president barack obama's proposed 2013,37806,16951,18,9,28,17,1554,26,47,0.5693729519844055,1.902166877698619e-05,29932.860184868463,685,265 262 228 231 1514 276 4430 2992 7101 6527,0.52548528 0.055309836 0.045948807 0.040305283 0.016918622 0.013626567 0.010622091 0.0083249565 0.0079975845 0.0072039552,1,2,D_C_43122,D,C,43122,chck_100M
27,2246,"misfire:36:1:in the mother country, one day in that same cold december a baby girl was born a",36,"in the mother country, one day in that same cold december a baby girl was born a",993,0,19,14,25,20,2246,25,47,0.018473561853170395,0.0035295099951326847,5.234030185109567,23,1537 3441 965 7971 6540 5124 533 325 2564 887,0.38588333 0.061553665 0.029590128 0.025326196 0.024958339 0.020165594 0.01513667 0.013932497 0.0097499797 0.0092516793,0,1,D_C_43122,D,C,43122,chck_100M
40,4709,"misfire:37:13:schlitz was born in mainz, germany where he received his education and also a fo",37,"schlitz was born in mainz, germany where he received his education and also a fo",46444,15180,19,15,26,23,4709,25,51,0.08225423097610474,0.09423608332872391,0.8728528189056537,3,8938 3583 4709 2494 5833 1970 1253 2617 6835 2346,0.1432128 0.094626211 0.094236083 0.072729774 0.057656474 0.053679507 0.039891221 0.035853222 0.026819935 0.022886029,0,1,D_C_43122,D,C,43122,chck_100M
44,901,"misfire:37:17:schlitz was born in mainz, germany where he received his education and also a fo",37,"schlitz was born in mainz, germany where he received his education and also a fo",46444,15180,19,15,26,23,901,25,51,0.08369185775518417,0.5785892009735107,0.14464815038781859,1,901 2204 663 1662 1370 8323 2377 2565 8075 5358,0.5785892 0.14441448 0.083018415 0.046966102 0.015189287 0.011109266 0.008540635 0.0061570113 0.0046881367 0.0043326761,0,1,D_C_43122,D,C,43122,chck_100M
42,2313,misfire:38:10:the commonly encountered mold infections in organ transplant patients in the sta,38,the commonly encountered mold infections in organ transplant patients in the sta,3932,6305,21,14,31,24,2313,28,57,0.5005375742912292,0.00015600872575305402,3208.3947348145734,284,331 4430 328 424 3712 5072 987 542 7207 5202,0.48866034 0.069135062 0.048835028 0.044018075 0.040613856 0.026671387 0.015154074 0.014611022 0.013177708 0.0061053596,1,1,D_C_43122,D,C,43122,chck_100M
43,2368,misfire:38:11:the commonly encountered mold infections in organ transplant patients in the sta,38,the commonly encountered mold infections in organ transplant patients in the sta,3932,6305,21,14,31,24,2368,28,57,0.05019600689411163,0.002903807209804654,17.286273938788256,50,6237 1332 897 4454 4108 454 3137 228 213 830,0.056589998 0.028476359 0.019802915 0.019650485 0.018751768 0.017520502 0.017118843 0.013180087 0.013069913 0.012455506,0,1,D_C_43122,D,C,43122,chck_100M
35,6840,"misfire:40:5:in march, rommel led an attack on the egyptian border, where a stalemate develop",40,"in march, rommel led an attack on the egyptian border, where a stalemate develop",50481,11965,22,17,29,23,6840,26,54,0.05102790519595146,0.07252401113510132,0.7036001511402087,2,11990 6840 2992 2562 2951 1073 228 3854 6986 6329,0.10208298 0.072524011 0.044575322 0.043617424 0.040142573 0.037427053 0.023011437 0.02275083 0.02110398 0.019473331,0,1,D_C_43122,D,C,43122,chck_100M
