row_index,source,words,raw_tokens,row256_active_tokens,u256_recovered_tokens,u256_recovered_full_words,u256_recovered_boundary_tokens,cue_score,suffix_action,suffix_causal_temporal,suffix_physical_object,suffix_spatial_state,suffix_mental_social,suffix_material_property,suffix_quantitative,suffix_numbers,suffix_capitalized,recovered_word_sample,text_prefix
8022,childes,160,322,256,66,35,0,13,4,0,3,0,1,2,1,0,10,"some. *MOT: "" sing a song?"" *CHI: turn. *CHI: airplane turn. *CHI: pin where? *CHI: pin. *CHI: car broken. *MOT: I don't think that car is broken. *CHI: stop zebra. *CHI: car broke zebra. *CHI:",cut. *MOT: what does the knife do? *CHI: cut. *CHI: come on. *MOT: who is that? *CHI: Chatter. [picture of monkey eating banana] *MOT: what is the monkey eating? [picture of monkey eating banana] *CHI: eating crayon. *MOT: eating crayon? *CHI: crayon. *MOT: wh
56027,childes,160,320,256,64,32,1,13,1,2,2,1,1,1,1,1,6,"do that to your chair. *BR1: Heather! *SIS: zzz! [extended cry] *MOT: no! *BR2: look Brian. %int: 1-4 loud, emphatic, shrill *MOT: If you open it again you're going in your room.",corn. *MOT: why don't we save this corn for you for later? *CHI: no! *MOT: yeah. *MOT: eat everything else in your dish. *BR1: I'll eat it. *MOT: no! %int: bitten off *MOT: Freddy. %int: admonishing and warning tone *BR1: but I'm hungry. *MOT: hm? *BR3: my mou
45913,open_subtitles,160,314,256,58,31,0,13,2,2,1,3,0,1,1,0,30,"COME? YES, ANYTHING-- ANYTHING TO GET OUT OF THE HOUSE RIGHT NOW. THE PRESSURE IS TOO MUCH. I'M SO SORRY TO HEAR THAT. YEAH, THE GUILT SLINGING IS IN FULL FORCE.","MR. PERFECT, YOU THINK? PROBABLY AS CLOSE AS IT COMES. SO WHAT ABOUT YOUR MR. PERFECT? WELL... ACTUALLY, HE CAME UP THIS WEEKEND. HE WAS VISITING SOME FRIENDS, OR AT LEAST THAT'S WHAT HE SAID. AND YOU SAW HIM? SO? WELL... HE KIND OF TOUCHED ME. HE TOUCHED YOU?"
14680,childes,160,303,256,47,30,0,13,2,1,1,1,0,2,2,0,3,it. *CHI: one. *BR1: Mom how long does it take for this stuff to wash? %int: calling from other room *BR1: I mean dry? *MOT: it'll be dry before six,it's soggy. *CHI: what is it? *CHI: oh it's a mushroom! *MOT: you like mushrooms huh? *CHI: it is a mushroom. *MOT: well then eat it. *CHI: mm. *CHI: yyy yyy. *CHI: want some? *BR1: no. *MOT: [laughs]. *CHI: say yyy. *BR1: will you cut 'em? *MOT: they're not d
16077,open_subtitles,160,432,256,176,84,0,12,1,1,1,3,1,0,5,4,37,"Biller Für Sarabande Cello only No. 5 in C-moll (BWV 1011) Performer: Georgina Cardona How long you'll stay in Leipzig? A couple of weeks. Which program will you present? Locatelli, Frescobaldi, Telemann and the two sons of Bach. Carl Philipp","Ligorio, piano Auf des Flügeln Gesanges heine Op 34, No. 2 Author: FELIX MENDELSSOHN Text: Xavier Albertí Performer: Claudia Schneider, voice None of the compositions Johann Sebastian Bach wasprintedanddistributed first50yearsafterhisdeath . 'wasso'tillthe yea"
17820,open_subtitles,160,475,256,219,70,8,12,2,2,1,2,1,0,1,0,65,ENGLISH. YEAH. IS THIS WHERE WE GET TICKETS FOR THE HIGH-SPEED RAIL? THE MACHINE RIGHT THERE YOU CA JUST BUY IT. IT'SFASTER. WOULDYOUBE ABLETOSHOW US? TRAVELBYHIGH-SPEEDRAIL. OK. LET'SGO . YEAR. TO TAICHUNG. OK.THANK YOU SO MUCH. THANKYOUVERYMUCH. ALLRIGHT. ? GO,"DOORS. LET'SGO. TAIPElMAINSTATION. OK, VERY FAST. JEN GETS MAD WHEN OTHER TEAMS CATCH UP, I UNDERSTAND, BUT IT'S NOT LIKE WE'RE DOING SOMETHING PERSONALLY TO HER. SORRY,GUYS,I'MNOT HAPPENTOSEEYOU. TICKETS HERE. WE WANT TO GO - THANK YOU SO MUCH. DO YOU HAVE A "
20978,open_subtitles,160,408,256,152,58,34,12,3,3,1,2,1,0,1,0,58,"OKAY, YOU'RE GONNA CARRY THIS IN AND GIVE THE FIRST CUP OF TEA TO MY REAL GRANDMA. SHE'S THE OLD LADY WHOSE NAME IS JUNE. NICE. PEACE OFFERING. WELL, DON'T GO OVERBOARD BECAUSE IF YOU'RE TOO NICE TO MY GRANDMA,","DO. SARAH, I CAN WATCH HER. OR YOU COULD PICK UP GRANDMA? UM, YEAH. SURE, I COULD DO THAT. REALLY? OKAY, THANK YOU. AND GOOD LUCK. AH, I'M SURE SHE'S FINE. SO THIS IS EXCITING, HUH? OH, YES. I GREW UP WITH A BOY NAMED SAM. YEAH? BUT HE-HE WASN'T AS HANDSOME AS"
26140,open_subtitles,160,372,256,116,58,2,12,2,5,2,5,0,0,2,2,53,"THE VEHICLE ONTO A GIANT TEETER TO THER AND THEN ROCK BACK AND FORTH PRECARESLY 25 FEET ABOVE THE GROUND. THEN, TEAM MEMBERS WILL SWITCH INTO THIS CAR, DON A PAIR OF GOGGLES AND ? THEN THEY'LL BE DRIVEN UNDERWATER","TAXI,TAXI,TAXI. COME ON, DAD. Nate. TO THE RIGHT. RACHELTOTHELEFT. TAXICITY. right here. TAXI. taxi. YOUKNOWTHISPLACE? WE'RETHEFIRSTONESOUT. GOOD. WE'REGOINGHERE. OK, HERE WE GO.ONE, TWO, THREE. COMEON,NATHAN. I HAVE NO IDEA HOW THAT HAPPENED. WE'REINLAST. IS "
9323,gutenberg,160,365,256,109,57,0,12,4,2,3,3,2,0,1,0,17,"PITCHER-PLANT Nay, everything that a house could want. [Illustration] In VENUS’S-FLY-TRAP the pair drove away, [Illustration] “SPEEDWELL, and be happy,” their friends gaily say; [Illustration] But alack! what a hubbub when one chanced to find The Bride’s only BOX was","JENNY, an elderly dame [Illustration] To order the feast—there was LING, and HARTSTONGUE, [Illustration] And GOOSEFOOT with SAGE, the HOUSE·LEEK among [Illustration] Very SWEET PEAS, & GOOD CHERRY PIE, Such a feast as an Alderman could not deny! [Illustration]"
37084,open_subtitles,160,362,256,106,53,1,12,4,5,1,1,3,0,1,0,53,SURE. YOU TELL HER TO GO HOME. LISTEN. IT'S LIKE YOU FALL IN LOVE WITH THE FIRST THING YOU SEE ONCE YOU'RE STUCK. BUT IF WE UNDID THE SPELL SHE'D FORGET UNCLE SCROOGE AND GO. AND MAKE SURE THE NEXT,"THAT. LOOK! I'VE HAD A VERY BAD MILLENNIUM. GIVE ME THOSE ARROWS! THAT REALLY IS APHRODUCKY! I DON'T CARE IS SHE'S FEATHER LOCKLEAR, SHE'S NOT GETTING MY ARROWS. YEOOW! LET ME DOWN! STOP! STOP! LET ME DOWN! LEAVE MY UNCLE SCROOGE ALONE! UNCLE SCROOGE! ARE YOU "
57224,open_subtitles,160,403,256,147,52,2,12,2,1,1,3,0,0,3,0,49,"""(Ross) "" I DREAMED OF YOUR FACE LAST NIGHT, THE FRECKLES ON YOUR CHEEK""? ONE MAN'S POETRY... (Goren) BRISTOL TENNIS TEAM. SUMMER HOUSE ON THE VINEYARD. TESSA'S ON A SCHOLARSHIP, SELF-CONSCIOUS. THIS KIND OF BOYFRIEND WAS TAILOR-MADE TO GIVE HER","FROM A CONNECTICUT BOARDING SCHOOL WITH NO CONNECTIONS TO MANOR HILL TRY TO BLACKMAIL ONE OF THEIR TEACHERS? GET UP THERE AND ASK HIM. (Ms. Bradley) I CAN HELP YOU, SINCE THIS DOESN'T CONCERN OUR STUDENTS' PRIVACY. NO JOSEPH CARDINAL CURRENTLY OR EVER ENROLLED"
54997,open_subtitles,160,348,256,92,49,0,12,1,1,2,6,0,1,2,0,43,"I MOSTLY NEED SOME EXTRA BOXES BROUGHT DOWN FROM THE ATTIC. AND I HAVE MORE LIGHTS I WOULD LIKE UP OUTSIDE, AND I HAVEN'T DONE ANY DECORATING IN THE BATHROOMS. THERE'S PLENTY OF FOOD IN THE FRIDGE. AND I WOULD","I GOT A JOB FOR YOU TONIGHT. A JOB? YOU MEAN LIKE WORK? I DON'T WORK. [BOTH LAUGHING] [ENGINE STARTS] [KNOCKING ON DOOR] HI, MRS. GARRETT. GIA WILSON, AND SARAH HAYES. I REMEMBER YOU BOTH. PLEASE. WOW. ARE YOU GOING SOMEWHERE? OH. YOU RAN OFF SO FAST, I FORGOT"
59807,open_subtitles,160,333,256,77,47,4,12,3,1,1,3,0,0,2,2,6,"higher the body count, the better chance whatever we file {\pos(110,260)}will get picked up nationally, so just grow a pair, will you? - How did you get in here? - It was her idea. We're with Channel 13. Please don't","- What was it? - I know, I know, I don't know. - I don't know, but it knows we're here. The Team Projet-SG presents: Sanctuary - Season 1 Episode 11 Instinct (v. 1.00) {\pos(120,260)}Timing by: Arrow, nitrogenc, Salomon {\pos(192,230)}We're going to leave now,"
7963,gutenberg,160,322,256,66,46,1,12,2,3,3,1,1,0,1,0,8,"CHAPTER I THE ESCAPE ""Now then, you, Bessie, quit your loafin' and get them dishes washed! An' then you can go out and chop me some wood for the kitchen fire!"" The voice was that of a slatternly woman of","title on the first page of the story and the remainder of the book, however, is _The Camp Fire Girls In the Woods_. A Campfire Girl's First Council Fire By JANE L. STEWART CAMPFIRE GIRLS SERIES VOLUME I THE SAALFIELD PUBLISHING COMPANY AKRON, OHIO NEW YORK Mad"
55772,open_subtitles,160,361,256,105,45,2,12,4,1,3,2,1,1,0,0,42,"I TRIED TO HOLD PAUL'S BODY UP WHILE I CALLED FOR HELP. THE BOILER ROOM? WHAT WERE YOU DOING DOWN THERE? WELL, THE DOOR TO THE TUNNELS IS SUPPOSED TO BE LOCKED. IT WAS WIDE OPEN. (Biaggi) UH... HEADMASTER'S WAITING.","THAT, HE'D BE RIGHT. ANNA NOBEEL FOUND THE BODY AROUND 4:00 P.M. IT'S NOBILE. PAUL WAS A STUDENT OF MINE. YOU NOTICE ANYTHING? WAS HE DEPRESSED? NO. BUT PAUL LIVED IN HIS OWN WORLD. NOT ONE OF THE POPULAR KIDS. MM-MM. (Eames) WAS HE NEW HERE? (Anna) NO, HE WAS"
32067,simple_wiki,160,331,256,75,45,0,12,2,1,3,1,0,0,6,6,17,"made Ajax to win. = = = 1972 European Cup Final = = = The 1972 European Cup Final was a football match held at De Kuip, Rotterdam, on 31 May 1972. = = = 1971 European Cup Final =","number 5 in Canada. = = = Taksin = = = King Taksin the Great (Thai: �������������������������, RTGS: Somdet Phra Chao Taksin Maharat) or the King of Thonburi (Thai: �����������������������, RTGS: Somdet Phra Chao Krung Thon Buri; simplified Chinese: ��; tradit"
62485,open_subtitles,160,319,256,63,38,0,12,2,1,3,4,1,0,2,0,36,"AND I WANT IT BACK. IT'S NOT THE CAR. IT'S NOT THE PHONE. IT'S THE BAG. ALL RIGHT, YOU GIVE ME THE BAG BACK, I'LL GIVE YOU FIVE GRAND IN CASH. NOW THERE'S A DINER JUST SOUTH OF","WELL, I DID WONDER. OKAY, GOT IT. OI, DON'T BE MAD. MY PHONE IS STILL IN THE GRANADA. SIDE POCKET, MATE. WHAT'S YOUR NUMBER? OI, WHAT'S YOUR NUMBER? WELL, WHO RINGS THEMSELVES UP? WELL, DO YOU KNOW ANYBODY'S NUMBER? SOMEBODY WHO MIGHT HAVE YOUR NUMBER? - YEAH,"
4365,childes,160,324,256,68,33,2,12,1,1,1,1,2,1,1,0,12,clean the floor with... *CHI: [noises] *CHI: [make noises]. *MOT: oh. *CHI: [makes noises]. *CHI: all white... *MOT: you know somethin' Sarah? *CHI: what? *MOT: Mama hasta call up Esther. *MOT: we don't,watch it. *CHI: oh can't uh get it dirty! *MOT: no I wouldn't get that dirty. *CHI: 'cause it's not uh... *MOT: [snaps her fingers] *CHI: see my powderpuff. *MOT: eee yeah. *CHI: see... [powders Mother's face] *MOT: oh oh oh. [wails] *CHI: oh. [wails] *CHI: yo
49519,simple_wiki,160,300,256,44,32,0,12,2,1,1,0,1,1,1,0,10,"time by ""Guitar World"". He was one of the people who made Meshuggah. = = = Pitch Black (EP) = = = Pitch Black is an extended play by Swedish extreme metal","are young fresh men high school graduate at that time. = = = Charlie DePew = = = Charlie DePew, (born on May 22, 1996 in Pasadena, California) is an American actor and passionate storyteller. Career. In 2012, DePew was first seen at ""The Amazing Spider-Man"" (2"
3291,childes,160,312,256,56,30,2,12,4,1,1,0,1,0,2,0,5,'n' you're giving it to the the monkey. *GLO: make-believe. *CHI: okay. [exits to get more water] *CHI: I go' some xxx. *MOT: you can wash your hands later. *MOT:,eh oh he tired. *GLO: he's tires yeah. *CHI: here you better stan' up. %add: toy [rights Bugs] *GLO: why is he tired? *CHI: he tired lay down. *GLO: what did he do today? *GLO: what do you have in your cup? *GLO: soda? *GLO: you don't call it soda? *MOT: tonic
58035,childes,160,300,256,44,25,0,12,1,1,1,1,1,0,4,0,5,long one. *CHI: a baby one [red container?]. *CHI: that's how see? *CHI: baby one. *CHI: now roll over and get some xxx. *MOT: that's,the telephone? *CHI: I hafta play. *CHI: hm. *CHI: I like to play cookies. *MOT: you gonna make cookies? *CHI: uhhuh. *CHI: nothing in here [jugs]. *CHI: ugh [grunts] xxx. *MOT: okay make believe there's some coffee in there. *CHI: mm. *CHI: huh... *CHI: now t
21719,gutenberg,160,418,256,162,84,0,11,1,1,1,1,0,0,9,7,54,"Walter Crane 'O Christmas, merry Christmas! Is it really come again? With its memories and greetings, With its joy and with its pain.' London Macmillan And Co. 1880 TO _The Two Friends_ WHO WILL BEST UNDERSTAND THIS SIMPLE LITTLE STORY","= = = A CHRISTMAS CHILD: A SKETCH OF A BOY-LIFE E-text prepared by Delphine Lettau, Paul Dring, and the Online Distributed Proofreading Canada Team (http://www.pgdpcanada.net) Note: Project Gutenberg also has an HTML version of this file which includes the ori"
51173,open_subtitles,160,382,256,126,62,1,11,5,0,1,1,2,0,1,0,60,"OH, MY. YOU'VE BEEN BUSY, HAVEN'T YOU? I SEE YOU HAVE A VARIETY OF SHAPES AND SIZES. IT'S ALWAYS GOOD TO HAVE OPTIONS. OH, HAVE, UH... HAVE YOU DECIDED WHICH ONE YOU WOULD LIKE TO USE? [GROANING] UGH! [MANIACAL CHUCKLE]","WORRY. I WON'T LEAVE YOU THIS TIME. I PROMISE. OKAY. [GROANING] [DOOR CLOSES] [GRUNTS] [GRUNTS] [SCREAMS] [SCREAMING] [GRUNTS] UGH! [SHOUTS] [WHIMPERS] [MUFFLED SCREAMS] -[ MUFFLED SCREAMING] -YAH! OOH! [GRUNTING] YAHHH! [SMACKS] NOW, YOU'VE GONE THIS... THIS "
38081,open_subtitles,160,479,256,223,61,4,11,2,1,2,5,4,0,1,1,59,"IHAVEACOUPLEOFthaiFRIENDS. YEP. ITSAYSTHEFLOATINGGARDENSOBSERVATORY. IT'S GOT TO BE THE RIGHT PLACE. IDON'TLIKETHIS. OK,BABY,LOOK,WE'RENOTNEARLYASFARBEHINDAS WETHOUGHT WE WERE. IDON'TTHINKWESHOULDGOUP. IF THE IN THE GARDEN I THINK IT WOULD BE DOWN. WHATEVER,LET'SJUSTGOUP. THANK YOU. DAD,LET'SGO . HERE.UP HERE.TAIPEl. 1:00 P.M. LET'S GO THERE COME","CRUISE UP. TOLD YOU THEY'RE CATCHING UP. WE JUST CAN'T WORRY ABOUT THEM. WEWERELASTTOLEAVEASALWAYS . ON THIS LEG OF THE RACE, WE'RE GOING TO BE AGGRESSIVE. NO COMPETITORS ARE LEFT. IT'S A BUNCH OF PANSIES IN THE GAME. ? FINDTHEGARDENS. WHATTHEHELLISA FLOATINGG"
53103,open_subtitles,160,373,256,117,49,2,11,2,1,1,1,3,1,0,0,47,"IN UNIVERSITY AND ALMOST FINISHED. Jamil's mother: GRANDCHILDREN- - THERE WILL BE GRANDCHILDREN! Men: INSHALLAH. ROCHEL, PLEASE OPEN THIS DOOR. ROCHEL. ROCHEL, YOU HAVE TO CALL YOUR AUNT. WHAT KIND OF REPUTATION WILL THIS FAMILY HAVE AFTER THIS? ROCHEL, PLEASE.","ANY PROFESSION, DOCTORS EVEN. - AND CLOSE TO THE TOP IN STARTING SALARIES. - MOM... WHAT? THESE ARE THE FACTS. AHMED IS STUDYING COMPUTER ENGINEERING IN BROOKLYN COLLEGE. ANOTHER GOOD CHOICE. THESE BOYS OF OURS-- ONE DAY THEY WILL BE ABLE TO SUPPORT US - IN OU"
28254,gutenberg,160,342,256,86,44,1,11,1,1,2,4,1,0,2,0,10,"ist 'bout as big As ist a bird-cage is: An' _in_ the house They 'uz whole-lots _more_ Fairies there--'cause I Picked up the little house, an 'peeked in at The winders, an' I see 'em all in there Ist _buggin_'","in all the World!-- They 'uz ist _flowers_ an' _woses_--yes, an' _twees_ Wiv _blossoms_ on an' _big ripe apples_ boff! An' butterflies, they wuz--an' hummin'-birds-- An' _yellow_birds an' _blue_birds--yes, an' _red!_-- An' ever'wheres an' all awound 'uz vines "
48906,childes,160,351,256,95,43,2,11,2,1,1,0,1,0,2,0,15,you're pretty good! *MOT: you're doin' good. *CHI: he. *MOT: started. *CHI: started to look. *MOT: very good. *CHI: for. *MOT: s. *CHI: so some good. *MOT: no. *MOT: f. *CHI: food. *MOT: yeah. *CHI: one. *MOT: nope. *MOT: there's,yeah. *MOT: you're on this word right here. *CHI: the w. *MOT: wa. *CHI: warm. *MOT: yeah. *CHI: sun came up and. *MOT: p. %int: breathy p *CHI: popped. *MOT: yeah. *MOT: with an exclamation point. *MOT: popped! *CHI: to. *INV: [laughs]. *CHI: to. *MOT: no. *M
