mode,example_id,reference_correct,reference_rank,reference_top_minus_correct,reference_choice,control_correct,control_rank,control_top_minus_correct,control_choice,treatment_correct,treatment_rank,treatment_top_minus_correct,treatment_choice,treatment_minus_control_rank_delta,treatment_minus_control_margin_delta,control_minus_reference_rank_delta,control_minus_reference_margin_delta,treatment_minus_reference_rank_delta,treatment_minus_reference_margin_delta
nonparallel,group0123_ex000010_eng_latn_0_v1,False,2,0.262837907744617,1,False,2,0.34996496991413384,1,False,2,0.295906922875381,1,0,-0.05405804703875283,0,0.08712706216951682,0,0.03306901513076399
nonparallel,group0123_ex000011_eng_latn_0_v1,True,1,0.0,1,True,1,0.0,1,True,1,0.0,1,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000012_eng_latn_0_v1,True,1,0.0,0,False,2,0.4121395013271236,1,False,2,0.1551216810177527,1,0,-0.2570178203093709,1,0.4121395013271236,1,0.1551216810177527
nonparallel,group0123_ex000013_eng_latn_0_v1,True,1,0.0,0,True,1,0.0,0,True,1,0.0,0,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000014_eng_latn_0_v1,False,2,0.5113326299758185,0,False,2,0.6810970124744236,0,False,2,0.9764896211170013,0,0,0.29539260864257777,0,0.16976438249860504,0,0.4651569911411828
nonparallel,group0123_ex000015_eng_latn_0_v1,False,2,0.05803231632008288,0,False,2,0.201186685001149,0,False,2,0.18790660184972463,0,0,-0.013280083151424371,0,0.14315436868106612,0,0.12987428552964175
nonparallel,group0123_ex000016_eng_latn_0_v1,True,1,0.0,0,True,1,0.0,0,True,1,0.0,0,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000017_eng_latn_0_v1,True,1,0.0,0,True,1,0.0,0,True,1,0.0,0,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000018_eng_latn_0_v1,False,2,0.06804808909758897,0,False,2,0.32278435777276027,0,False,2,0.0318802011993542,0,0,-0.29090415657340607,0,0.2547362686751713,0,-0.036167887898234774
nonparallel,group0123_ex000020_eng_latn_0_v1,False,2,0.14874630882626505,0,True,1,0.0,1,True,1,0.0,1,0,0.0,-1,-0.14874630882626505,-1,-0.14874630882626505
nonparallel,group0123_ex000021_eng_latn_0_v1,False,2,0.03859153160682105,1,True,1,0.0,0,False,2,0.07146982046273997,1,1,0.07146982046273997,-1,-0.03859153160682105,0,0.032878288855918925
nonparallel,group0123_ex000022_eng_latn_0_v1,True,1,0.0,0,True,1,0.0,0,True,1,0.0,0,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000023_eng_latn_0_v1,False,2,0.08096504211425781,0,True,1,0.0,1,True,1,0.0,1,0,0.0,-1,-0.08096504211425781,-1,-0.08096504211425781
nonparallel,group0123_ex000024_eng_latn_0_v1,True,1,0.0,1,False,2,0.30842531644381044,0,True,1,0.0,1,-1,-0.30842531644381044,1,0.30842531644381044,0,0.0
nonparallel,group0123_ex000025_eng_latn_0_v1,False,2,1.119008382161458,0,False,2,1.3424929994525332,0,False,2,1.2409806685014209,0,0,-0.10151233095111234,0,0.22348461729107516,0,0.12197228633996282
nonparallel,group0123_ex000026_eng_latn_0_v1,False,2,0.27283516985625633,1,False,2,0.2211398173697856,1,False,2,0.390899130478207,1,0,0.1697593131084214,0,-0.051695352486470725,0,0.11806396062195068
nonparallel,group0123_ex000027_eng_latn_0_v1,True,1,0.0,1,True,1,0.0,1,True,1,0.0,1,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000028_eng_latn_0_v1,True,1,0.0,1,False,2,0.3132496458111387,0,False,2,0.3584247935901992,0,0,0.04517514777906051,1,0.3132496458111387,1,0.3584247935901992
nonparallel,group0123_ex000029_eng_latn_0_v1,False,2,1.6742721557617184,1,False,2,1.3294242858886713,1,False,2,0.6682586669921875,1,0,-0.6611656188964838,0,-0.34484786987304705,0,-1.006013488769531
nonparallel,group0123_ex000030_eng_latn_0_v1,True,1,0.0,1,True,1,0.0,1,True,1,0.0,1,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000031_eng_latn_0_v1,False,2,1.5652245657784603,1,False,2,0.27521449497767847,1,False,2,1.0290162222726007,1,0,0.7538017272949222,0,-1.2900100708007818,0,-0.5362083435058596
nonparallel,group0123_ex000032_eng_latn_0_v1,True,1,0.0,0,False,2,0.22342395782470703,1,True,1,0.0,0,-1,-0.22342395782470703,1,0.22342395782470703,0,0.0
nonparallel,group0123_ex000033_eng_latn_0_v1,True,1,0.0,0,True,1,0.0,0,True,1,0.0,0,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000034_eng_latn_0_v1,False,2,0.05490650850183787,0,True,1,0.0,1,True,1,0.0,1,0,0.0,-1,-0.05490650850183787,-1,-0.05490650850183787
nonparallel,group0123_ex000035_eng_latn_0_v1,False,2,0.2017445882161466,1,True,1,0.0,0,True,1,0.0,0,0,0.0,-1,-0.2017445882161466,-1,-0.2017445882161466
nonparallel,group0123_ex000036_eng_latn_0_v1,True,1,0.0,1,False,2,0.09094766073180871,0,False,2,0.07874690253953442,0,0,-0.012200758192274286,1,0.09094766073180871,1,0.07874690253953442
nonparallel,group0123_ex000037_eng_latn_0_v1,True,1,0.0,0,True,1,0.0,0,True,1,0.0,0,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000038_eng_latn_0_v1,True,1,0.0,1,False,2,0.2368830167330227,0,False,2,0.12354806753305336,0,0,-0.11333494919996934,1,0.2368830167330227,1,0.12354806753305336
nonparallel,group0123_ex000039_eng_latn_0_v1,False,2,1.5094371122472428,0,False,2,1.2045178756215216,0,False,2,1.262737286636253,0,0,0.05821941101473138,0,-0.3049192366257212,0,-0.2466998256109898
nonparallel,group0123_ex000040_eng_latn_0_v1,False,2,0.0486967904227118,1,True,1,0.0,0,False,2,0.023412431989397575,1,1,0.023412431989397575,-1,-0.0486967904227118,0,-0.025284358433314225
nonparallel,group0123_ex000041_eng_latn_0_v1,False,2,0.4874283784355211,0,False,2,0.28303178774765136,0,False,2,0.24261297587475816,0,0,-0.0404188118728932,0,-0.20439659068786975,0,-0.24481540256076295
nonparallel,group0123_ex000042_eng_latn_0_v1,False,2,0.38482926686604824,0,False,2,0.14000867207845058,0,False,2,0.4768745422363274,0,0,0.33686587015787683,0,-0.24482059478759766,0,0.09204527537027918
nonparallel,group0123_ex000043_eng_latn_0_v1,True,1,0.0,0,True,1,0.0,0,True,1,0.0,0,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000044_eng_latn_0_v1,True,1,0.0,0,True,1,0.0,0,True,1,0.0,0,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000045_eng_latn_0_v1,True,1,0.0,0,True,1,0.0,0,True,1,0.0,0,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000046_eng_latn_0_v1,True,1,0.0,1,True,1,0.0,1,True,1,0.0,1,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000047_eng_latn_0_v1,True,1,0.0,1,True,1,0.0,1,True,1,0.0,1,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000048_eng_latn_0_v1,False,2,0.11796639182350788,1,True,1,0.0,0,True,1,0.0,0,0,0.0,-1,-0.11796639182350788,-1,-0.11796639182350788
nonparallel,group0123_ex000049_eng_latn_0_v1,True,1,0.0,1,True,1,0.0,1,True,1,0.0,1,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000050_eng_latn_0_v1,False,2,0.2064735581274748,0,False,2,0.2323263259161088,0,False,2,0.28249763955875284,0,0,0.050171313642644044,0,0.02585276778863399,0,0.07602408143127803
nonparallel,group0123_ex000051_eng_latn_0_v1,True,1,0.0,0,True,1,0.0,0,True,1,0.0,0,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000052_eng_latn_0_v1,False,2,0.30073302132742796,1,False,2,0.6290441240583151,1,False,2,0.2358610970633368,1,0,-0.3931830269949783,0,0.32831110273088715,0,-0.06487192426409116
nonparallel,group0123_ex000053_eng_latn_0_v1,False,2,0.2649432607797477,1,False,2,0.07077533428485605,1,False,2,0.47956781240609914,1,0,0.4087924781212431,0,-0.19416792649489167,0,0.2146245516263514
nonparallel,group0123_ex000054_eng_latn_0_v1,False,2,0.04052090513939888,1,True,1,0.0,0,False,2,0.02691306319891229,1,1,0.02691306319891229,-1,-0.04052090513939888,0,-0.013607841940486587
nonparallel,group0123_ex000055_eng_latn_0_v1,True,1,0.0,1,False,2,0.07467357928936291,0,False,2,0.24749286358173084,0,0,0.17281928429236793,1,0.07467357928936291,1,0.24749286358173084
nonparallel,group0123_ex000056_eng_latn_0_v1,False,2,0.23377059327910832,0,False,2,0.23868042383438492,0,False,2,0.3297318243912484,0,0,0.09105140055686345,0,0.004909830555276606,0,0.09596123111214006
nonparallel,group0123_ex000057_eng_latn_0_v1,False,2,0.01428015034845842,0,True,1,0.0,1,False,2,0.009181688416679101,0,1,0.009181688416679101,-1,-0.01428015034845842,0,-0.005098461931779319
nonparallel,group0123_ex000058_eng_latn_0_v1,False,2,0.06773464496319104,0,False,2,0.7244380070612979,0,False,2,0.38250028170072126,0,0,-0.34193772536057665,0,0.6567033620981069,0,0.3147656367375302
nonparallel,group0123_ex000059_eng_latn_0_v1,False,2,0.044661287161019914,1,True,1,0.0,0,False,2,0.0846445523775543,1,1,0.0846445523775543,-1,-0.044661287161019914,0,0.03998326521653439
nonparallel,group0123_ex000060_eng_latn_0_v1,True,1,0.0,1,True,1,0.0,1,True,1,0.0,1,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000061_eng_latn_0_v1,False,2,1.5913557325090677,1,False,2,0.8996830894833518,1,False,2,0.8295910244896305,1,0,-0.07009206499372134,0,-0.6916726430257158,0,-0.7617647080194372
nonparallel,group0123_ex000062_eng_latn_0_v1,True,1,0.0,0,False,2,0.2841559516059027,1,False,2,0.12417093912760357,1,0,-0.1599850124782991,1,0.2841559516059027,1,0.12417093912760357
nonparallel,group0123_ex000063_eng_latn_0_v1,False,2,1.8812546730041504,1,False,2,2.5217952728271484,1,False,2,2.1715383529663086,1,0,-0.35025691986083984,0,0.640540599822998,0,0.2902836799621582
nonparallel,group0123_ex000064_eng_latn_0_v1,False,2,0.08585739135742188,1,True,1,0.0,0,True,1,0.0,0,0,0.0,-1,-0.08585739135742188,-1,-0.08585739135742188
nonparallel,group0123_ex000066_eng_latn_0_v1,False,2,0.8455808639526365,0,False,2,0.5288709958394371,0,False,2,0.8323187828063965,0,0,0.3034477869669594,0,-0.31670986811319946,0,-0.013262081146240057
nonparallel,group0123_ex000067_eng_latn_0_v1,True,1,0.0,1,True,1,0.0,1,True,1,0.0,1,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000068_eng_latn_0_v1,False,2,0.5017573269930748,1,False,2,1.0317878723144531,1,False,2,0.17169293490323145,1,0,-0.8600949374112217,0,0.5300305453213783,0,-0.3300643920898434
nonparallel,group0123_ex000069_eng_latn_0_v1,False,2,0.47482459609572913,0,False,2,0.5970603839771167,0,False,2,0.44810952882508914,0,0,-0.14895085515202755,0,0.12223578788138756,0,-0.02671506727063999
nonparallel,group0123_ex000070_eng_latn_0_v1,True,1,0.0,0,True,1,0.0,0,True,1,0.0,0,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000071_eng_latn_0_v1,True,1,0.0,0,True,1,0.0,0,True,1,0.0,0,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000072_eng_latn_0_v1,False,2,0.8564950731065544,1,False,2,0.8779179043240015,1,False,2,0.36965993245442696,1,0,-0.5082579718695746,0,0.021422831217447147,0,-0.4868351406521274
nonparallel,group0123_ex000073_eng_latn_0_v1,True,1,0.0,1,True,1,0.0,1,True,1,0.0,1,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000074_eng_latn_0_v1,True,1,0.0,0,True,1,0.0,0,True,1,0.0,0,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000075_eng_latn_0_v1,False,2,0.42627470228407116,0,False,2,0.29950697157118,0,False,2,0.2105130513509108,0,0,-0.0889939202202692,0,-0.12676773071289116,0,-0.21576165093316035
nonparallel,group0123_ex000076_eng_latn_0_v1,False,2,0.7577991485595703,0,True,1,0.0,1,False,2,0.7703460693359379,0,1,0.7703460693359379,-1,-0.7577991485595703,0,0.012546920776367543
nonparallel,group0123_ex000077_eng_latn_0_v1,True,1,0.0,1,True,1,0.0,1,True,1,0.0,1,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000078_eng_latn_0_v1,True,1,0.0,1,False,2,0.3244819641113281,0,False,2,0.10139029366629515,0,0,-0.22309167044503297,1,0.3244819641113281,1,0.10139029366629515
nonparallel,group0123_ex000079_eng_latn_0_v1,True,1,0.0,1,True,1,0.0,1,True,1,0.0,1,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000080_eng_latn_0_v1,False,2,0.26912371317545514,0,False,2,0.5760199228922529,0,False,2,0.3334042231241865,0,0,-0.2426156997680664,0,0.30689620971679776,0,0.06428050994873136
nonparallel,group0123_ex000081_eng_latn_0_v1,True,1,0.0,0,False,2,0.13203606238732046,1,False,2,0.013737605168269162,1,0,-0.1182984572190513,1,0.13203606238732046,1,0.013737605168269162
nonparallel,group0123_ex000082_eng_latn_0_v1,False,2,0.20643107096354196,0,False,2,0.04628403981526663,0,False,2,0.6610415776570635,0,0,0.6147575378417969,0,-0.16014703114827533,0,0.45461050669352154
nonparallel,group0123_ex000083_eng_latn_0_v1,True,1,0.0,0,True,1,0.0,0,True,1,0.0,0,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000084_eng_latn_0_v1,True,1,0.0,1,True,1,0.0,1,True,1,0.0,1,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000085_eng_latn_0_v1,False,2,0.02346844143337634,1,False,2,0.03983179728190045,1,False,2,0.04799609714084241,1,0,0.008164299858941959,0,0.016363355848524108,0,0.024527655707466067
nonparallel,group0123_ex000086_eng_latn_0_v1,False,2,0.08975276947021449,0,True,1,0.0,1,True,1,0.0,1,0,0.0,-1,-0.08975276947021449,-1,-0.08975276947021449
nonparallel,group0123_ex000088_eng_latn_0_v1,True,1,0.0,1,False,2,0.0031606500799004067,0,True,1,0.0,1,-1,-0.0031606500799004067,1,0.0031606500799004067,0,0.0
nonparallel,group0123_ex000089_eng_latn_0_v1,True,1,0.0,1,True,1,0.0,1,True,1,0.0,1,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000090_eng_latn_0_v1,False,2,1.1850544876522484,0,False,2,1.1641687287224665,0,False,2,1.2505336867438421,0,0,0.08636495802137567,0,-0.02088575892978195,0,0.06547919909159372
nonparallel,group0123_ex000091_eng_latn_0_v1,True,1,0.0,0,True,1,0.0,0,True,1,0.0,0,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000092_eng_latn_0_v1,False,2,0.6998761177062987,0,False,2,0.20783319473266637,0,False,2,0.04668855667114258,0,0,-0.1611446380615238,0,-0.4920429229736323,0,-0.6531875610351561
nonparallel,group0123_ex000094_eng_latn_0_v1,False,2,0.05634487376493569,1,False,2,0.052418877096737315,1,True,1,0.0,0,-1,-0.052418877096737315,0,-0.003925996668198373,-1,-0.05634487376493569
nonparallel,group0123_ex000095_eng_latn_0_v1,False,2,0.21357863289969314,0,False,2,0.009946005684988712,0,False,2,0.09621184212820877,0,0,0.08626583644322006,0,-0.20363262721470443,0,-0.11736679077148438
nonparallel,group0123_ex000096_eng_latn_0_v1,True,1,0.0,1,True,1,0.0,1,True,1,0.0,1,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000097_eng_latn_0_v1,True,1,0.0,0,True,1,0.0,0,True,1,0.0,0,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000098_eng_latn_0_v1,True,1,0.0,1,False,2,0.07994108933668898,0,False,2,0.3073732425004998,0,0,0.22743215316381082,1,0.07994108933668898,1,0.3073732425004998
nonparallel,group0123_ex000099_eng_latn_0_v1,True,1,0.0,1,True,1,0.0,1,True,1,0.0,1,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000100_eng_latn_0_v1,True,1,0.0,1,True,1,0.0,1,False,2,0.1551693507603238,0,1,0.1551693507603238,0,0.0,1,0.1551693507603238
nonparallel,group0123_ex000101_eng_latn_0_v1,True,1,0.0,0,True,1,0.0,0,True,1,0.0,0,0,0.0,0,0.0,0,0.0
nonparallel,group0123_ex000102_eng_latn_0_v1,False,2,3.122929573059082,1,False,2,2.7877864837646484,1,False,2,1.833846092224121,1,0,-0.9539403915405273,0,-0.3351430892944336,0,-1.289083480834961
nonparallel,group0123_ex000103_eng_latn_0_v1,True,1,0.0,1,False,2,0.2679620222611865,0,False,2,0.10964827104048336,0,0,-0.15831375122070312,1,0.2679620222611865,1,0.10964827104048336
