alpha,context_mode,group,n,joint,gated_frac,a_correct,b_correct,both_wrong,a_acc,b_acc,mean_joint_min_margin
0.0,no_context,weak_or_location_separable,86,4,0.046511627906976744,54,34,2,0.627906976744186,0.3953488372093023,-1.8166276186990051
0.25,full_context,all_pairs,200,18,0.09,69,146,3,0.345,0.73,-1.5266004858636406
0.25,full_context,answer_overlap_ge0p25,5,0,0.0,0,4,1,0.0,0.8,-0.34185194153488346
0.25,full_context,answer_overlap_lt0p25,195,18,0.09230769230769231,69,142,2,0.35384615384615387,0.7282051282051282,-1.556978653666942
0.25,full_context,both_entities_in_source,115,9,0.0782608695652174,41,81,2,0.3565217391304348,0.7043478260869566,-1.5418424419805468
0.25,full_context,genuine_both_source_low_answer_overlap,114,9,0.07894736842105263,41,81,1,0.35964912280701755,0.7105263157894737,-1.5551651137009215
0.25,full_context,not_both_entities_in_source,85,9,0.10588235294117647,28,65,1,0.32941176470588235,0.7647058823529411,-1.5059790158231203
0.25,full_context,position_ambiguous,11,1,0.09090909090909091,2,10,0,0.18181818181818182,0.9090909090909091,-1.1965812367164526
0.25,full_context,position_unchanged_first,160,15,0.09375,57,115,3,0.35625,0.71875,-1.6160571654007057
0.25,full_context,position_updated_first,29,2,0.06896551724137931,10,21,0,0.3448275862068966,0.7241379310344828,-1.1582261070598021
0.25,full_context,updated_entity_in_source,119,10,0.08403361344537816,42,85,2,0.35294117647058826,0.7142857142857143,-1.5192744646509855
0.25,full_context,updated_entity_not_in_source,81,8,0.09876543209876543,27,61,1,0.3333333333333333,0.7530864197530864,-1.5373634059168009
0.25,full_context,weak_or_location_separable,86,9,0.10465116279069768,28,65,2,0.32558139534883723,0.7558139534883721,-1.4887357466374778
0.25,no_context,all_pairs,200,15,0.075,130,80,5,0.65,0.4,-1.7972013936628672
0.25,no_context,answer_overlap_ge0p25,5,1,0.2,4,2,0,0.8,0.4,-1.7506889708517566
0.25,no_context,answer_overlap_lt0p25,195,14,0.07179487179487179,126,78,5,0.6461538461538462,0.4,-1.798394019888793
0.25,no_context,both_entities_in_source,115,8,0.06956521739130435,77,44,2,0.6695652173913044,0.3826086956521739,-1.8856342748926975
0.25,no_context,genuine_both_source_low_answer_overlap,114,7,0.06140350877192982,76,43,2,0.6666666666666666,0.37719298245614036,-1.9043823918977703
0.25,no_context,not_both_entities_in_source,85,7,0.08235294117647059,53,36,3,0.6235294117647059,0.4235294117647059,-1.6775569072930967
0.25,no_context,position_ambiguous,11,0,0.0,6,5,0,0.5454545454545454,0.45454545454545453,-1.169325084693104
0.25,no_context,position_unchanged_first,160,14,0.0875,105,64,5,0.65625,0.4,-1.8205001405130463
0.25,no_context,position_updated_first,29,1,0.034482758620689655,19,11,0,0.6551724137931034,0.3793103448275862,-1.9068165627193756
0.25,no_context,updated_entity_in_source,119,8,0.06722689075630252,79,46,2,0.6638655462184874,0.3865546218487395,-1.869015076978281
0.25,no_context,updated_entity_not_in_source,81,7,0.08641975308641975,51,34,3,0.6296296296296297,0.41975308641975306,-1.6916973403970121
0.25,no_context,weak_or_location_separable,86,8,0.09302325581395349,54,37,3,0.627906976744186,0.43023255813953487,-1.6551242564677628
0.5,full_context,all_pairs,200,32,0.16,70,160,2,0.35,0.8,-1.3964685265471368
0.5,full_context,answer_overlap_ge0p25,5,1,0.2,2,4,0,0.4,0.8,-0.4591625934080886
0.5,full_context,answer_overlap_lt0p25,195,31,0.15897435897435896,68,156,2,0.3487179487179487,0.8,-1.4205020120122407
0.5,full_context,both_entities_in_source,115,15,0.13043478260869565,40,89,1,0.34782608695652173,0.7739130434782608,-1.4342222209795674
0.5,full_context,genuine_both_source_low_answer_overlap,114,15,0.13157894736842105,39,89,1,0.34210526315789475,0.7807017543859649,-1.4450381492137845
0.5,full_context,not_both_entities_in_source,85,17,0.2,30,71,1,0.35294117647058826,0.8352941176470589,-1.3453899987856135
0.5,full_context,position_ambiguous,11,1,0.09090909090909091,2,10,0,0.18181818181818182,0.9090909090909091,-1.4537136959657184
0.5,full_context,position_unchanged_first,160,30,0.1875,62,126,2,0.3875,0.7875,-1.4014047906254066
0.5,full_context,position_updated_first,29,1,0.034482758620689655,6,24,0,0.20689655172413793,0.8275862068965517,-1.3475202811634286
0.5,full_context,updated_entity_in_source,119,16,0.13445378151260504,41,93,1,0.3445378151260504,0.7815126050420168,-1.4275539617002522
0.5,full_context,updated_entity_not_in_source,81,16,0.19753086419753085,29,67,1,0.35802469135802467,0.8271604938271605,-1.3507998008283626
0.5,full_context,weak_or_location_separable,86,17,0.19767441860465115,31,71,1,0.36046511627906974,0.8255813953488372,-1.3320855383611159
0.5,no_context,all_pairs,200,16,0.08,123,81,12,0.615,0.405,-1.7722814803768077
0.5,no_context,answer_overlap_ge0p25,5,1,0.2,3,2,1,0.6,0.4,-1.4533378729366124
0.5,no_context,answer_overlap_lt0p25,195,15,0.07692307692307693,120,79,11,0.6153846153846154,0.40512820512820513,-1.7804595215932228
0.5,no_context,both_entities_in_source,115,9,0.0782608695652174,72,45,7,0.6260869565217392,0.391304347826087,-1.792548992713372
0.5,no_context,genuine_both_source_low_answer_overlap,114,8,0.07017543859649122,71,44,7,0.6228070175438597,0.38596491228070173,-1.8127223067374187
0.5,no_context,not_both_entities_in_source,85,7,0.08235294117647059,51,36,5,0.6,0.4235294117647059,-1.744860728392044
0.5,no_context,position_ambiguous,11,0,0.0,6,4,1,0.5454545454545454,0.36363636363636365,-1.282059885777205
0.5,no_context,position_unchanged_first,160,16,0.1,101,66,9,0.63125,0.4125,-1.7884044885901087
0.5,no_context,position_updated_first,29,0,0.0,16,11,2,0.5517241379310345,0.3793103448275862,-1.869273074392926
0.5,no_context,updated_entity_in_source,119,9,0.07563025210084033,74,47,7,0.6218487394957983,0.3949579831932773,-1.7719800481959076
0.5,no_context,updated_entity_not_in_source,81,7,0.08641975308641975,49,34,5,0.6049382716049383,0.41975308641975306,-1.7727243251857838
0.5,no_context,weak_or_location_separable,86,8,0.09302325581395349,52,37,5,0.6046511627906976,0.43023255813953487,-1.7186738733406486
0.75,full_context,all_pairs,200,71,0.355,90,181,0,0.45,0.905,-0.9374656486749973
0.75,full_context,answer_overlap_ge0p25,5,1,0.2,2,4,0,0.4,0.8,-0.8563798411303599
0.75,full_context,answer_overlap_lt0p25,195,70,0.358974358974359,88,177,0,0.4512820512820513,0.9076923076923077,-0.9395447719453726
0.75,full_context,both_entities_in_source,115,39,0.3391304347826087,52,102,0,0.45217391304347826,0.8869565217391304,-0.9039990492392037
0.75,full_context,genuine_both_source_low_answer_overlap,114,39,0.34210526315789475,51,102,0,0.4473684210526316,0.8947368421052632,-0.9096923746711397
0.75,full_context,not_both_entities_in_source,85,32,0.3764705882352941,38,79,0,0.4470588235294118,0.9294117647058824,-0.9827439890881298
0.75,full_context,position_ambiguous,11,2,0.18181818181818182,2,11,0,0.18181818181818182,1.0,-1.7901355244775343
0.75,full_context,position_unchanged_first,160,59,0.36875,77,142,0,0.48125,0.8875,-0.8732587921873864
0.75,full_context,position_updated_first,29,10,0.3448275862068966,11,28,0,0.3793103448275862,0.9655172413793104,-0.9682838695091288
0.75,full_context,updated_entity_in_source,119,40,0.33613445378151263,53,106,0,0.44537815126050423,0.8907563025210085,-0.9285604773758059
0.75,full_context,updated_entity_not_in_source,81,31,0.38271604938271603,37,75,0,0.4567901234567901,0.9259259259259259,-0.9505485546577599
0.75,full_context,weak_or_location_separable,86,32,0.37209302325581395,39,79,0,0.45348837209302323,0.9186046511627907,-0.9742813839824364
0.75,no_context,all_pairs,200,15,0.075,121,80,14,0.605,0.4,-1.7204565818793625
0.75,no_context,answer_overlap_ge0p25,5,1,0.2,3,3,0,0.6,0.6,-1.4168940108730683
0.75,no_context,answer_overlap_lt0p25,195,14,0.07179487179487179,118,77,14,0.6051282051282051,0.39487179487179486,-1.7282402375461907
0.75,no_context,both_entities_in_source,115,11,0.09565217391304348,72,46,8,0.6260869565217392,0.4,-1.6909314245991165
0.75,no_context,genuine_both_source_low_answer_overlap,114,10,0.08771929824561403,71,45,8,0.6228070175438597,0.39473684210526316,-1.7115240928778255
0.75,no_context,not_both_entities_in_source,85,4,0.047058823529411764,49,34,6,0.5764705882352941,0.4,-1.7604023829055777
0.75,no_context,position_ambiguous,11,2,0.18181818181818182,7,5,1,0.6363636363636364,0.45454545454545453,-1.1983057243938255
0.75,no_context,position_unchanged_first,160,10,0.0625,99,63,8,0.61875,0.39375,-1.7616360010864605
0.75,no_context,position_updated_first,29,3,0.10344827586206896,15,12,5,0.5172413793103449,0.41379310344827586,-1.6913170080588549
0.75,no_context,updated_entity_in_source,119,12,0.10084033613445378,74,49,8,0.6218487394957983,0.4117647058823529,-1.657807629043195
0.75,no_context,updated_entity_not_in_source,81,3,0.037037037037037035,47,31,6,0.5802469135802469,0.38271604938271603,-1.8124964014781766
0.75,no_context,weak_or_location_separable,86,5,0.05813953488372093,50,35,6,0.5813953488372093,0.4069767441860465,-1.7322973231139582
1.0,full_context,all_pairs,200,91,0.455,103,188,0,0.515,0.94,-0.5075200163885468
1.0,full_context,answer_overlap_ge0p25,5,0,0.0,1,4,0,0.2,0.8,-1.3154089355843497
1.0,full_context,answer_overlap_lt0p25,195,91,0.4666666666666667,102,184,0,0.5230769230769231,0.9435897435897436,-0.4868049158963467
1.0,full_context,both_entities_in_source,115,47,0.40869565217391307,55,107,0,0.4782608695652174,0.9304347826086956,-0.6458144322768281
1.0,full_context,genuine_both_source_low_answer_overlap,114,47,0.41228070175438597,54,107,0,0.47368421052631576,0.9385964912280702,-0.6452644225457455
1.0,full_context,not_both_entities_in_source,85,44,0.5176470588235295,48,81,0,0.5647058823529412,0.9529411764705882,-0.3204158066573427
1.0,full_context,position_ambiguous,11,4,0.36363636363636365,5,10,0,0.45454545454545453,0.9090909090909091,-0.7787818147197818
1.0,full_context,position_unchanged_first,160,76,0.475,85,151,0,0.53125,0.94375,-0.35628175866354506
1.0,full_context,position_updated_first,29,11,0.3793103448275862,13,27,0,0.4482758620689655,0.9310344827586207,-1.239045583780157
1.0,full_context,updated_entity_in_source,119,49,0.4117647058823529,58,110,0,0.48739495798319327,0.9243697478991597,-0.6432119394270385
1.0,full_context,updated_entity_not_in_source,81,42,0.5185185185185185,45,78,0,0.5555555555555556,0.9629629629629629,-0.308170154146812
1.0,full_context,weak_or_location_separable,86,44,0.5116279069767442,49,81,0,0.5697674418604651,0.9418604651162791,-0.3249285942731904
1.0,no_context,all_pairs,200,18,0.09,123,81,14,0.615,0.405,-1.59083103652068
1.0,no_context,answer_overlap_ge0p25,5,2,0.4,3,4,0,0.6,0.8,-0.9583129540511542
1.0,no_context,answer_overlap_lt0p25,195,16,0.08205128205128205,120,77,14,0.6153846153846154,0.39487179487179486,-1.6070494488916933
1.0,no_context,both_entities_in_source,115,11,0.09565217391304348,73,46,7,0.6347826086956522,0.4,-1.5212376076789926
1.0,no_context,genuine_both_source_low_answer_overlap,114,10,0.08771929824561403,72,45,7,0.631578947368421,0.39473684210526316,-1.5423022680667815
1.0,no_context,not_both_entities_in_source,85,7,0.08235294117647059,50,35,7,0.5882352941176471,0.4117647058823529,-1.6849868520123745
1.0,no_context,position_ambiguous,11,1,0.09090909090909091,6,4,2,0.5454545454545454,0.36363636363636365,-1.1219132023604366
1.0,no_context,position_unchanged_first,160,16,0.1,102,67,7,0.6375,0.41875,-1.6676172819662984
1.0,no_context,position_updated_first,29,1,0.034482758620689655,15,10,5,0.5172413793103449,0.3448275862068966,-1.34504817115736
1.0,no_context,updated_entity_in_source,119,12,0.10084033613445378,75,49,7,0.6302521008403361,0.4117647058823529,-1.4939693060438988
1.0,no_context,updated_entity_not_in_source,81,6,0.07407407407407407,48,32,7,0.5925925925925926,0.3950617283950617,-1.733134072653235
1.0,no_context,weak_or_location_separable,86,8,0.09302325581395349,51,36,7,0.5930232558139535,0.4186046511627907,-1.655159869122359
1.25,full_context,all_pairs,200,81,0.405,95,185,1,0.475,0.925,-0.7607250055362393
1.25,full_context,answer_overlap_ge0p25,5,0,0.0,0,4,1,0.0,0.8,-1.75716248886948
1.25,full_context,answer_overlap_lt0p25,195,81,0.4153846153846154,95,181,0,0.48717948717948717,0.9282051282051282,-0.7351753264764128
1.25,full_context,both_entities_in_source,115,42,0.3652173913043478,52,104,1,0.45217391304347826,0.9043478260869565,-0.9968353422551388
1.25,full_context,genuine_both_source_low_answer_overlap,114,42,0.3684210526315789,52,104,0,0.45614035087719296,0.9122807017543859,-0.9981109061163089
1.25,full_context,not_both_entities_in_source,85,39,0.4588235294117647,43,81,0,0.5058823529411764,0.9529411764705882,-0.4412816087989049
1.25,full_context,position_ambiguous,11,5,0.45454545454545453,5,11,0,0.45454545454545453,1.0,-0.2467390074522558
1.25,full_context,position_unchanged_first,160,67,0.41875,79,147,1,0.49375,0.91875,-0.6305908476705249
1.25,full_context,position_updated_first,29,9,0.3103448275862069,11,27,0,0.3793103448275862,0.9310344827586207,-1.6736667723444514
1.25,full_context,updated_entity_in_source,119,45,0.37815126050420167,55,108,1,0.46218487394957986,0.907563025210084,-0.9600120240338161
1.25,full_context,updated_entity_not_in_source,81,36,0.4444444444444444,40,77,0,0.49382716049382713,0.9506172839506173,-0.4679453116941204
1.25,full_context,weak_or_location_separable,86,39,0.45348837209302323,43,81,1,0.5,0.9418604651162791,-0.44605067220917044
1.25,no_context,all_pairs,200,16,0.08,120,77,19,0.6,0.385,-1.510790843924439
1.25,no_context,answer_overlap_ge0p25,5,2,0.4,3,4,0,0.6,0.8,-0.7075136335123154
1.25,no_context,answer_overlap_lt0p25,195,14,0.07179487179487179,117,73,19,0.6,0.37435897435897436,-1.531387695473468
1.25,no_context,both_entities_in_source,115,10,0.08695652173913043,68,47,10,0.591304347826087,0.40869565217391307,-1.4677757449674507
1.25,no_context,genuine_both_source_low_answer_overlap,114,9,0.07894736842105263,67,46,10,0.5877192982456141,0.40350877192982454,-1.4900964591488404
1.25,no_context,not_both_entities_in_source,85,6,0.07058823529411765,52,30,9,0.611764705882353,0.35294117647058826,-1.5689877425133063
1.25,no_context,position_ambiguous,11,1,0.09090909090909091,7,4,1,0.6363636363636364,0.36363636363636365,-1.2467114736984428
1.25,no_context,position_unchanged_first,160,13,0.08125,99,60,14,0.61875,0.375,-1.5721421828128057
1.25,no_context,position_updated_first,29,2,0.06896551724137931,14,13,4,0.4827586206896552,0.4482758620689655,-1.272468735315727
1.25,no_context,updated_entity_in_source,119,11,0.09243697478991597,70,50,10,0.5882352941176471,0.42016806722689076,-1.4550141367048628
1.25,no_context,updated_entity_not_in_source,81,5,0.06172839506172839,50,27,9,0.6172839506172839,0.3333333333333333,-1.592734401444558
1.25,no_context,weak_or_location_separable,86,7,0.08139534883720931,53,31,9,0.6162790697674418,0.36046511627906974,-1.5382229353711636
