set,pair_id,source,example_id,present,original_words,rewrite_words,pair_words,replacement_count_dose21,replacement_count_dose25
dose21,dose56_rw2s1_025390,simple_wiki,54447,False,40,29,69,0,0
dose21,dose56_rw2s1_026850,gutenberg,35851,True,20,20,40,1,2
dose21,dose56_rw2s1_029790,bnc_spoken,3623,True,33,23,56,0,2
dose21,dose56_rw2s1_028084,gutenberg,28972,True,32,29,61,1,2
dose21,dose56_rw2s0_002510,bnc_spoken,137,True,18,18,36,0,2
dose21,dose56_rw2s0_011965,gutenberg,23844,False,20,20,40,0,0
dose21,dose56_rw2s0_007662,gutenberg,32025,True,18,16,34,0,1
dose21,dose56_rw2s1_014196,simple_wiki,60420,True,39,36,75,1,1
dose21,dose56_rw_038027,open_subtitles,43777,False,16,13,29,0,0
dose21,dose56_rw2s0_025490,open_subtitles,50782,True,19,20,39,0,3
dose21,dose56_rw_009760,childes,20724,True,32,18,50,1,2
dose21,dose56_rw_030572,gutenberg,34617,True,25,26,51,0,0
dose21,dose56_rw2s0_015764,gutenberg,32921,True,54,47,101,0,1
dose21,dose56_rw_022528,gutenberg,22932,True,25,28,53,1,2
dose21,dose56_rw2s0_018944,gutenberg,26223,True,20,21,41,0,1
dose21,dose56_rw2s0_031121,gutenberg,29319,True,44,48,92,2,3
dose21,dose56_rw2s1_020075,childes,13769,True,28,32,60,0,1
dose21,dose56_rw2s0_032633,simple_wiki,61243,False,21,24,45,0,0
dose21,dose56_rw2s1_004715,open_subtitles,49418,True,18,21,39,1,1
dose21,dose56_rw2s0_015207,open_subtitles,39106,True,21,16,37,0,0
dose21,dose56_rw2s0_025768,gutenberg,34498,False,38,36,74,0,0
dose21,dose56_rw2s0_022719,simple_wiki,62210,False,19,19,38,0,0
dose21,dose56_rw2s1_011069,simple_wiki,58538,False,25,24,49,0,0
dose21,dose56_rw2s0_014492,simple_wiki,56873,True,20,24,44,0,1
dose21,dose56_rw2s1_000255,simple_wiki,55129,True,38,36,74,0,0
dose21,dose56_rw2s0_005344,gutenberg,37687,False,21,22,43,0,0
dose21,dose56_rw2s1_009069,gutenberg,31727,True,21,23,44,0,1
dose21,dose56_rw_036717,childes,10522,True,12,11,23,0,0
dose21,dose56_rw_003521,open_subtitles,44898,True,13,12,25,1,1
dose21,dose56_rw2s1_006187,gutenberg,35014,True,31,21,52,0,1
dose21,dose56_rw2s1_016728,simple_wiki,57848,True,19,19,38,1,2
dose21,dose56_rw_002310,bnc_spoken,4708,False,19,18,37,0,0
dose21,dose56_rw_002177,bnc_spoken,1810,False,20,21,41,0,0
dose21,dose56_rw2s0_016204,bnc_spoken,3682,True,43,35,78,0,1
dose21,dose56_rw2s1_005362,childes,20127,True,22,22,44,0,2
dose21,dose56_rw_035288,open_subtitles,47962,True,12,13,25,0,0
dose21,dose56_rw2s0_001690,bnc_spoken,4399,True,24,25,49,0,2
dose21,dose56_rw_044861,childes,6132,True,13,16,29,1,2
dose21,dose56_rw2s1_015365,simple_wiki,54665,False,30,30,60,0,0
dose21,dose56_rw_010647,gutenberg,27003,False,30,30,60,0,0
dose21,dose56_rw2s1_025557,bnc_spoken,1920,True,49,47,96,0,0
dose21,dose56_rw_019338,gutenberg,23884,True,23,19,42,1,2
dose21,dose56_rw2s1_001678,gutenberg,32835,True,23,21,44,1,1
dose21,dose56_rw2s0_007227,gutenberg,30865,True,25,21,46,1,1
dose21,dose56_rw2s1_018813,childes,9332,True,19,19,38,1,2
dose21,dose56_rw2s1_015995,gutenberg,28472,True,23,20,43,0,0
dose21,dose56_rw_023839,gutenberg,22865,True,12,10,22,2,3
dose21,dose56_rw2s0_023042,gutenberg,37413,False,28,25,53,0,0
dose21,dose56_rw2s1_032802,simple_wiki,59184,True,18,17,35,0,0
dose21,dose56_rw2s1_025383,gutenberg,37426,False,20,18,38,0,0
dose21,dose56_rw2s1_030851,gutenberg,27000,True,40,38,78,1,3
dose21,dose56_rw2s1_001488,gutenberg,31885,True,29,30,59,1,2
dose21,dose56_rw2s0_005791,gutenberg,33314,True,28,25,53,0,0
dose21,dose56_rw2s0_004498,gutenberg,27299,True,31,29,60,2,2
dose21,dose56_rw2s0_019518,simple_wiki,60776,True,18,18,36,0,2
dose21,dose56_rw_013655,open_subtitles,45563,True,23,15,38,1,3
dose21,dose56_rw_043815,childes,17142,True,17,17,34,0,0
dose21,dose56_rw_040661,open_subtitles,49231,True,18,17,35,1,2
dose21,dose56_rw2s0_016350,gutenberg,24915,True,21,18,39,0,0
dose21,dose56_rw_013949,childes,9085,True,20,19,39,0,1
dose21,dose56_rw2s0_015010,gutenberg,23144,False,21,17,38,0,0
dose21,dose56_rw2s1_026854,simple_wiki,55984,True,20,23,43,0,1
dose21,dose56_rw_040073,childes,17075,True,17,13,30,1,1
dose21,dose56_rw_031719,gutenberg,34022,True,17,14,31,0,0
dose21,dose56_rw_036595,childes,21772,True,12,13,25,2,2
dose21,dose56_rw_015269,gutenberg,31088,True,13,11,24,1,3
dose21,dose56_rw_035521,childes,19713,True,12,13,25,0,2
dose21,dose56_rw2s1_023001,gutenberg,30987,False,35,25,60,0,0
dose21,dose56_rw2s0_021382,childes,18186,True,20,14,34,1,2
dose21,dose56_rw2s0_002996,simple_wiki,57239,True,26,28,54,3,3
dose21,dose56_rw_021932,childes,10024,True,13,12,25,1,1
dose21,dose56_rw2s1_014128,open_subtitles,52207,True,19,17,36,0,0
dose21,dose56_rw2s1_012148,simple_wiki,59745,True,18,20,38,1,1
dose21,dose56_rw_042411,childes,21952,True,14,14,28,2,2
dose21,dose56_rw_041117,childes,8408,True,16,20,36,0,0
dose21,dose56_rw_041810,childes,11407,False,14,11,25,0,0
dose21,dose56_rw2s1_012476,gutenberg,34931,True,27,30,57,0,1
dose21,dose56_rw2s1_006001,bnc_spoken,1062,True,34,29,63,2,2
dose21,dose56_rw2s1_021710,open_subtitles,39825,True,24,21,45,1,1
dose21,dose56_rw_012022,childes,15691,True,14,14,28,1,2
dose21,dose56_rw2s0_026950,gutenberg,26606,False,23,25,48,0,0
dose21,dose56_rw_022373,bnc_spoken,2543,True,12,10,22,1,2
dose21,dose56_rw2s0_031990,childes,15771,True,27,24,51,2,3
dose21,dose56_rw2s0_023001,gutenberg,36975,True,36,40,76,1,3
dose21,dose56_rw2s0_026253,simple_wiki,60412,False,21,25,46,0,0
dose21,dose56_rw2s1_016713,simple_wiki,55819,True,23,25,48,0,1
dose21,dose56_rw2s1_010464,gutenberg,29733,True,28,28,56,0,0
dose21,dose56_rw2s1_006434,open_subtitles,42147,True,18,18,36,1,2
dose21,dose56_rw_037260,childes,13697,True,13,12,25,0,0
dose21,dose56_rw2s0_019078,simple_wiki,60366,True,24,23,47,2,2
dose21,dose56_rw_042404,open_subtitles,49496,True,25,22,47,1,1
dose21,dose56_rw2s1_002298,open_subtitles,44052,True,21,23,44,1,1
dose21,dose56_rw2s0_000715,simple_wiki,54655,False,29,31,60,0,0
dose21,dose56_rw2s0_017792,bnc_spoken,1547,True,22,19,41,0,1
dose21,dose56_rw2s1_029620,gutenberg,35441,False,31,31,62,0,0
dose21,dose56_rw2s1_022207,simple_wiki,57963,True,22,23,45,0,0
dose21,dose56_rw2s1_012040,gutenberg,24726,True,40,39,79,0,0
dose21,dose56_rw2s0_029695,gutenberg,30728,False,25,32,57,0,0
dose21,dose56_rw2s1_025295,open_subtitles,49940,True,19,21,40,0,1
dose21,dose56_rw2s1_030190,simple_wiki,57974,False,23,20,43,0,0
dose21,dose56_rw2s1_005620,gutenberg,26354,False,21,25,46,0,0
dose21,dose56_rw2s0_012176,gutenberg,35903,False,23,22,45,0,0
dose21,dose56_rw_039697,childes,10042,False,12,12,24,0,0
dose21,dose56_rw2s0_024906,childes,21481,True,18,17,35,0,0
dose21,dose56_rw2s1_012534,gutenberg,28376,True,26,26,52,2,3
dose21,dose56_rw2s1_030729,gutenberg,32868,True,30,29,59,0,0
dose21,dose56_rw2s1_020660,gutenberg,30800,True,21,26,47,0,1
dose21,dose56_rw_039940,open_subtitles,50662,True,14,17,31,1,1
dose21,dose56_rw2s0_006408,open_subtitles,51888,True,18,15,33,0,0
dose21,dose56_rw2s1_020621,childes,19406,True,18,18,36,0,0
dose21,dose56_rw2s0_016201,gutenberg,25981,True,55,41,96,1,1
dose21,dose56_rw_034901,childes,15343,True,15,14,29,0,0
dose21,dose56_rw2s0_021715,bnc_spoken,3943,False,20,20,40,0,0
dose21,dose56_rw2s1_020521,gutenberg,28457,True,23,22,45,1,5
dose21,dose56_rw_043954,childes,11184,True,14,18,32,1,1
dose21,dose56_rw2s0_022339,bnc_spoken,459,True,24,21,45,0,0
dose21,dose56_rw2s0_000838,gutenberg,23937,True,25,25,50,0,0
dose21,dose56_rw2s0_020639,open_subtitles,40214,False,20,19,39,0,0
dose21,dose56_rw2s1_010171,gutenberg,28226,True,19,19,38,0,0
dose21,dose56_rw2s0_030482,simple_wiki,55780,True,20,25,45,0,0
dose21,dose56_rw_006613,childes,19967,False,15,16,31,0,0
dose21,dose56_rw2s1_019852,childes,16150,True,31,40,71,0,0
dose21,dose56_rw_012493,gutenberg,25082,True,15,15,30,0,0
dose21,dose56_rw2s1_001109,simple_wiki,57605,False,20,24,44,0,0
dose21,dose56_rw2s0_014252,gutenberg,24768,True,20,22,42,0,0
dose21,dose56_rw2s0_015982,switchboard,62460,True,44,33,77,4,5
dose21,dose56_rw2s1_023720,gutenberg,32621,True,20,18,38,0,1
dose21,dose56_rw_036218,childes,17435,True,12,13,25,0,0
dose21,dose56_rw_038034,open_subtitles,41141,True,12,13,25,2,3
dose21,dose56_rw2s0_008099,gutenberg,35474,False,37,30,67,0,0
dose21,dose56_rw2s0_014093,gutenberg,30036,True,41,36,77,0,1
dose21,dose56_rw2s0_024134,bnc_spoken,4410,False,32,27,59,0,0
dose21,dose56_rw2s1_030528,gutenberg,34477,False,23,18,41,0,0
dose21,dose56_rw_003160,gutenberg,38068,True,15,17,32,0,0
dose21,dose56_rw2s1_005287,gutenberg,27581,True,48,42,90,0,0
dose21,dose56_rw2s0_004385,gutenberg,30877,True,36,27,63,0,1
dose21,dose56_rw2s0_007962,bnc_spoken,1651,True,31,28,59,1,3
dose21,dose56_rw2s0_010084,bnc_spoken,2892,True,18,15,33,0,1
dose21,dose56_rw_003445,open_subtitles,38760,True,12,12,24,1,3
dose21,dose56_rw2s1_023220,simple_wiki,60398,True,18,17,35,1,2
dose21,dose56_rw2s0_027662,bnc_spoken,2862,True,18,15,33,0,0
dose21,dose56_rw2s1_019410,simple_wiki,62210,False,26,33,59,0,0
dose21,dose56_rw_033673,bnc_spoken,3150,True,24,30,54,1,1
dose21,dose56_rw2s0_004287,gutenberg,23115,True,24,23,47,0,0
dose21,dose56_rw2s0_022425,open_subtitles,45041,True,20,27,47,1,1
dose21,dose56_rw_001504,gutenberg,26988,True,38,32,70,0,1
dose21,dose56_rw2s1_000740,bnc_spoken,3473,True,22,17,39,1,1
dose21,dose56_rw2s1_029873,gutenberg,26279,True,27,29,56,0,0
dose21,dose56_rw2s1_024639,gutenberg,34765,True,22,23,45,1,1
dose21,dose56_rw2s1_015425,childes,12051,True,21,23,44,1,2
dose21,dose56_rw2s0_008551,simple_wiki,60432,True,28,24,52,1,1
dose21,dose56_rw2s1_009833,open_subtitles,39912,False,49,40,89,0,0
dose21,dose56_rw2s1_009228,gutenberg,29538,False,22,22,44,0,0
dose21,dose56_rw_044506,childes,14905,True,13,11,24,1,1
dose21,dose56_rw2s0_025211,open_subtitles,39682,True,21,26,47,0,1
dose21,dose56_rw2s1_012279,gutenberg,31124,True,51,42,93,0,0
dose21,dose56_rw2s0_023392,childes,20201,True,25,23,48,0,0
dose21,dose56_rw_035314,childes,12954,True,12,11,23,0,2
dose21,dose56_rw2s1_015946,gutenberg,26069,False,21,17,38,0,0
dose21,dose56_rw_016704,gutenberg,28663,False,24,25,49,0,0
dose21,dose56_rw2s1_011582,simple_wiki,53571,True,31,33,64,1,2
dose21,dose56_rw2s0_010590,gutenberg,26198,True,28,22,50,3,3
dose21,dose56_rw2s1_013620,simple_wiki,53132,False,23,23,46,0,0
dose21,dose56_rw2s0_025426,gutenberg,29728,True,21,21,42,0,1
dose21,dose56_rw2s1_004059,open_subtitles,45286,True,23,24,47,0,0
dose21,dose56_rw2s1_005220,gutenberg,33316,True,29,21,50,1,1
dose21,dose56_rw2s0_008925,gutenberg,27147,False,19,17,36,0,0
dose21,dose56_rw2s1_028183,gutenberg,36376,True,24,20,44,0,1
dose21,dose56_rw2s1_031552,simple_wiki,55830,True,20,25,45,0,0
dose21,dose56_rw_030537,bnc_spoken,1914,True,30,31,61,0,0
dose21,dose56_rw2s1_016479,simple_wiki,53541,False,18,14,32,0,0
dose21,dose56_rw2s1_027915,gutenberg,30828,True,41,37,78,1,2
dose21,dose56_rw2s1_008351,gutenberg,24648,False,52,50,102,0,0
dose21,dose56_rw2s1_005622,open_subtitles,47926,True,20,20,40,1,2
dose21,dose56_rw2s1_021084,bnc_spoken,299,False,22,16,38,0,0
dose21,dose56_rw2s1_009900,open_subtitles,40219,True,18,21,39,1,1
dose21,dose56_rw2s0_020302,gutenberg,31999,True,31,27,58,1,2
dose21,dose56_rw2s0_030577,bnc_spoken,3962,True,25,19,44,0,0
dose21,dose56_rw_039797,childes,7470,True,12,13,25,1,1
dose21,dose56_rw2s1_025317,gutenberg,28543,False,35,36,71,0,0
dose21,dose56_rw2s1_016816,gutenberg,31670,False,23,21,44,0,0
dose21,dose56_rw_044533,childes,11551,True,17,15,32,1,1
dose21,dose56_rw_010886,childes,16916,False,17,15,32,0,0
dose21,dose56_rw2s1_015564,simple_wiki,55742,True,19,19,38,1,1
dose21,dose56_rw_042136,open_subtitles,42669,True,17,21,38,1,1
dose21,dose56_rw2s0_001086,open_subtitles,51527,False,18,19,37,0,0
dose21,dose56_rw2s1_016100,childes,15771,True,19,16,35,2,3
dose21,dose56_rw2s0_014426,open_subtitles,41454,True,38,44,82,0,0
dose21,dose56_rw2s1_016106,bnc_spoken,1397,True,39,37,76,1,2
dose21,dose56_rw2s0_030780,simple_wiki,56954,True,19,19,38,0,0
dose21,dose56_rw_023668,open_subtitles,43763,True,14,13,27,2,2
dose21,dose56_rw_039430,childes,9233,True,15,14,29,0,0
dose21,dose56_rw2s0_022520,gutenberg,26762,False,31,29,60,0,0
dose21,dose56_rw2s1_017059,simple_wiki,57623,True,28,29,57,1,1
dose21,dose56_rw2s1_011747,bnc_spoken,968,False,25,28,53,0,0
dose21,dose56_rw_007836,open_subtitles,51694,True,13,15,28,0,1
dose21,dose56_rw2s1_010766,gutenberg,27198,True,29,27,56,1,1
dose21,dose56_rw2s0_014243,gutenberg,23372,True,47,39,86,1,1
dose21,dose56_rw_001576,childes,14303,False,29,24,53,0,0
dose21,dose56_rw_038290,childes,19165,True,20,13,33,1,1
dose21,dose56_rw2s0_011889,gutenberg,31607,True,25,23,48,0,0
dose21,dose56_rw_016871,childes,14349,True,15,15,30,2,3
dose21,dose56_rw2s0_027037,simple_wiki,58429,True,18,20,38,1,4
dose21,dose56_rw2s0_013675,gutenberg,30284,True,29,28,57,1,2
dose21,dose56_rw_032961,childes,11375,True,13,13,26,2,2
dose21,dose56_rw2s0_025256,gutenberg,29601,True,44,40,84,3,3
dose21,dose56_rw2s1_001074,simple_wiki,54372,False,25,25,50,0,0
dose21,dose56_rw2s0_003413,bnc_spoken,994,False,26,26,52,0,0
dose21,dose56_rw2s0_031571,gutenberg,34641,True,23,22,45,0,0
dose21,dose56_rw2s0_031047,bnc_spoken,1063,True,19,21,40,0,1
dose21,dose56_rw_016043,childes,15499,True,16,15,31,1,3
dose21,dose56_rw_044215,childes,10464,True,13,13,26,0,3
dose21,dose56_rw_022003,childes,20485,True,15,18,33,1,2
dose21,dose56_rw2s0_005444,open_subtitles,45605,False,21,20,41,0,0
dose21,dose56_rw2s1_015786,gutenberg,34462,False,28,32,60,0,0
dose21,dose56_rw_020132,childes,19804,True,12,12,24,1,1
dose21,dose56_rw2s1_027190,childes,14988,True,23,25,48,0,0
dose21,dose56_rw2s1_007619,bnc_spoken,1144,False,42,30,72,0,0
dose21,dose56_rw2s0_023812,simple_wiki,55021,True,39,40,79,2,3
dose21,dose56_rw2s0_028336,gutenberg,33793,True,30,31,61,1,1
dose21,dose56_rw2s0_000510,gutenberg,26883,True,19,24,43,0,0
dose21,dose56_rw2s1_016118,gutenberg,36455,True,41,39,80,1,2
dose21,dose56_rw2s0_023724,gutenberg,27114,True,45,45,90,1,1
dose21,dose56_rw_019114,childes,13167,True,13,13,26,1,2
dose21,dose56_rw_033488,bnc_spoken,4550,True,15,15,30,1,3
dose21,dose56_rw2s0_021982,gutenberg,31056,True,20,22,42,1,3
dose21,dose56_rw2s1_029691,gutenberg,34173,False,26,24,50,0,0
dose21,dose56_rw2s1_031856,gutenberg,25203,True,29,30,59,0,0
dose21,dose56_rw2s1_002824,gutenberg,22851,False,18,17,35,0,0
dose21,dose56_rw2s1_015805,bnc_spoken,4387,True,40,36,76,1,2
dose21,dose56_rw2s0_005187,gutenberg,36260,True,22,18,40,0,0
dose21,dose56_rw2s0_008554,gutenberg,33846,False,26,31,57,0,0
dose21,dose56_rw_000339,childes,14780,True,14,13,27,1,1
dose21,dose56_rw2s0_028914,simple_wiki,59478,True,21,21,42,1,3
dose21,dose56_rw2s0_032517,gutenberg,26522,True,19,23,42,0,0
dose21,dose56_rw2s1_012828,bnc_spoken,4142,False,49,38,87,0,0
dose21,dose56_rw_040265,childes,18226,True,16,13,29,2,3
dose21,dose56_rw2s0_011472,gutenberg,35895,True,21,22,43,2,2
dose21,dose56_rw2s0_015003,gutenberg,37578,False,35,33,68,0,0
dose21,dose56_rw2s0_016733,gutenberg,34061,True,24,21,45,2,3
dose21,dose56_rw2s1_005108,gutenberg,31637,True,22,23,45,0,0
dose21,dose56_rw2s1_008354,gutenberg,31075,True,26,27,53,1,1
dose21,dose56_rw2s1_026918,bnc_spoken,2063,True,39,39,78,0,1
dose21,dose56_rw_032216,childes,13529,True,12,12,24,1,1
dose21,dose56_rw_002602,gutenberg,24847,False,42,42,84,0,0
dose21,dose56_rw2s1_026763,open_subtitles,52762,True,25,24,49,0,2
dose21,dose56_rw2s0_026479,gutenberg,34551,True,28,26,54,1,1
dose21,dose56_rw2s0_017324,bnc_spoken,1565,False,35,37,72,0,0
dose21,dose56_rw2s1_030728,simple_wiki,53302,False,29,36,65,0,0
dose21,dose56_rw_016411,open_subtitles,42601,True,12,12,24,0,0
dose21,dose56_rw_003204,childes,20330,True,13,13,26,2,3
dose21,dose56_rw_023470,childes,9342,True,12,13,25,0,0
dose21,dose56_rw_035728,childes,22136,True,13,13,26,1,2
dose21,dose56_rw2s0_018200,simple_wiki,57283,True,18,20,38,2,3
dose21,dose56_rw_024767,childes,7923,True,17,18,35,0,0
dose21,dose56_rw2s1_009171,bnc_spoken,241,False,38,34,72,0,0
dose21,dose56_rw2s0_000828,gutenberg,30882,True,25,24,49,0,1
dose21,dose56_rw2s1_024157,gutenberg,24224,True,18,15,33,0,0
dose21,dose56_rw_001074,open_subtitles,43211,True,13,14,27,0,0
dose21,dose56_rw2s1_031798,gutenberg,35849,True,32,35,67,0,3
dose21,dose56_rw2s1_001125,gutenberg,25145,True,22,20,42,0,0
dose21,dose56_rw2s1_009763,simple_wiki,58289,False,18,18,36,0,0
dose21,dose56_rw2s1_007839,bnc_spoken,23,False,54,44,98,0,0
dose21,dose56_rw2s0_016429,open_subtitles,42202,True,19,22,41,0,1
dose21,dose56_rw_022882,childes,22255,True,12,13,25,2,2
dose21,dose56_rw_043626,childes,19479,True,12,16,28,0,1
dose21,dose56_rw2s1_009115,gutenberg,38176,True,22,21,43,0,2
dose21,dose56_rw2s0_030680,simple_wiki,60315,True,41,27,68,0,1
dose21,dose56_rw2s1_031109,gutenberg,26384,True,25,24,49,0,1
dose21,dose56_rw_043493,childes,6071,True,13,11,24,0,1
dose21,dose56_rw2s0_028687,gutenberg,26460,True,26,23,49,1,2
dose21,dose56_rw2s1_022902,open_subtitles,45776,True,20,25,45,0,2
dose21,dose56_rw2s0_007529,gutenberg,34736,True,45,44,89,0,0
dose21,dose56_rw2s0_026375,simple_wiki,56088,True,19,19,38,1,1
dose21,dose56_rw_037876,childes,20286,True,16,15,31,2,3
dose21,dose56_rw2s0_028599,gutenberg,37714,True,26,27,53,1,1
dose21,dose56_rw_025103,simple_wiki,62238,False,19,19,38,0,0
dose21,dose56_rw2s0_012705,gutenberg,22892,True,18,19,37,0,0
dose21,dose56_rw_020955,gutenberg,30654,True,28,22,50,2,3
dose21,dose56_rw_042448,childes,10715,True,13,17,30,1,2
dose21,dose56_rw_026379,gutenberg,30810,True,25,26,51,1,1
dose21,dose56_rw2s1_016597,gutenberg,36680,True,40,34,74,0,1
dose21,dose56_rw_042830,open_subtitles,44243,True,18,23,41,0,1
dose21,dose56_rw_021856,bnc_spoken,1933,True,18,20,38,2,2
dose21,dose56_rw2s1_018138,gutenberg,25367,True,30,25,55,0,0
dose21,dose56_rw2s1_013120,childes,5208,True,22,26,48,1,2
dose21,dose56_rw_019817,gutenberg,29471,False,26,30,56,0,0
dose21,dose56_rw2s0_030222,bnc_spoken,3290,False,22,22,44,0,0
dose21,dose56_rw_014978,bnc_spoken,224,False,14,13,27,0,0
dose21,dose56_rw2s0_030415,childes,14213,True,22,16,38,1,1
dose21,dose56_rw2s1_029311,gutenberg,35619,True,30,26,56,1,2
dose21,dose56_rw2s1_021284,simple_wiki,54376,True,25,29,54,2,2
dose21,dose56_rw2s1_023930,open_subtitles,45122,True,26,24,50,1,2
dose21,dose56_rw_044381,childes,11211,True,14,15,29,1,2
dose21,dose56_rw2s0_012691,gutenberg,32422,True,21,19,40,2,4
dose21,dose56_rw2s1_021997,gutenberg,36698,False,20,17,37,0,0
dose21,dose56_rw2s0_027528,simple_wiki,60272,False,25,24,49,0,0
dose21,dose56_rw2s0_024549,simple_wiki,61101,True,30,28,58,1,2
dose21,dose56_rw2s1_017692,gutenberg,29706,True,43,34,77,1,2
dose21,dose56_rw2s0_005451,gutenberg,35477,True,36,30,66,1,1
dose21,dose56_rw2s0_019879,gutenberg,29218,True,32,24,56,0,1
dose21,dose56_rw_034090,open_subtitles,48472,False,14,16,30,0,0
dose21,dose56_rw2s0_008937,gutenberg,30086,True,23,24,47,2,2
dose21,dose56_rw2s0_011368,simple_wiki,62265,True,31,39,70,0,0
dose21,dose56_rw2s0_021506,simple_wiki,56564,True,18,15,33,0,0
dose21,dose56_rw2s0_009425,simple_wiki,60810,False,18,12,30,0,0
dose21,dose56_rw2s0_019700,open_subtitles,41031,True,18,16,34,0,1
dose21,dose56_rw2s0_004971,open_subtitles,50193,True,29,26,55,0,0
dose21,dose56_rw2s1_010900,childes,14249,True,21,19,40,2,3
dose21,dose56_rw_014372,childes,20862,True,21,20,41,0,2
dose21,dose56_rw_003501,bnc_spoken,559,True,20,16,36,0,0
dose21,dose56_rw2s1_023712,open_subtitles,39686,True,18,16,34,2,2
dose21,dose56_rw2s1_011177,gutenberg,29311,True,19,15,34,0,0
