position,target,condition,pair_index,pair_id,target_token_id,rewrite_pos,n_true_src_content,n_unrel_src_content,src_len,unrel_len,true_src_content_mass,unrel_src_content_mass,target_prob,arm,arch,role,seed,checkpoint
66,644,T,6,"three task forces, that were created in the wake of the comprehensive assessment",644,4,32,29,61,61,9.251487063011155e-05,0.011051117442548275,0.00680814404040575,D_V_43222,D,V,43222,chck_100M
66,644,U,6,"three task forces, that were created in the wake of the comprehensive assessment",644,4,32,29,61,61,0.00010692331125028431,0.0013285460881888866,0.006540305912494659,D_V_43222,D,V,43222,chck_100M
93,572,T,6,"three task forces, that were created in the wake of the comprehensive assessment",572,31,32,29,61,61,0.46387779712677,0.002954634604975581,2.3878815227362793e-06,D_V_43222,D,V,43222,chck_100M
93,572,U,6,"three task forces, that were created in the wake of the comprehensive assessment",572,31,32,29,61,61,0.006400441750884056,0.00258659734390676,5.440415861812653e-06,D_V_43222,D,V,43222,chck_100M
45,249,T,7,"the hubbard-rosa version of “on, wisconsin!” became the official state song on j",249,13,10,15,31,31,0.940062940120697,6.326908624032512e-05,0.0066366046667099,D_V_43222,D,V,43222,chck_100M
45,249,U,7,"the hubbard-rosa version of “on, wisconsin!” became the official state song on j",249,13,10,15,31,31,0.0012793248752132058,0.0012640663189813495,0.5284796953201294,D_V_43222,D,V,43222,chck_100M
26,6890,T,8,"this year alone, 12 deaths have been reported, according to a san jose state uni",6890,4,10,11,21,21,0.7591302394866943,0.0003316761285532266,0.003201552201062441,D_V_43222,D,V,43222,chck_100M
26,6890,U,8,"this year alone, 12 deaths have been reported, according to a san jose state uni",6890,4,10,11,21,21,0.0017558501567691565,0.0025456452276557684,0.00010386526264483109,D_V_43222,D,V,43222,chck_100M
55,5343,T,9,"in january 2003, epa released its national water quality trading policy, which l",5343,17,19,18,37,37,0.05073486641049385,0.0017684351187199354,0.00040304914000444114,D_V_43222,D,V,43222,chck_100M
55,5343,U,9,"in january 2003, epa released its national water quality trading policy, which l",5343,17,19,18,37,37,0.006998743396252394,0.022589588537812233,0.0004952282761223614,D_V_43222,D,V,43222,chck_100M
60,954,T,10,"total=land+water; land=land only [suh-rent-owe] is a town in hancock county, set",954,3,19,23,56,56,0.8606144785881042,0.001147378352470696,4.898244014839293e-07,D_V_43222,D,V,43222,chck_100M
60,954,U,10,"total=land+water; land=land only [suh-rent-owe] is a town in hancock county, set",954,3,19,23,56,56,0.0045821527019143105,0.0028597721830010414,1.9565097773011075e-06,D_V_43222,D,V,43222,chck_100M
87,641,T,10,"total=land+water; land=land only [suh-rent-owe] is a town in hancock county, set",641,30,19,23,56,56,0.00025646810536272824,5.6051208957796916e-05,0.000219322566408664,D_V_43222,D,V,43222,chck_100M
87,641,U,10,"total=land+water; land=land only [suh-rent-owe] is a town in hancock county, set",641,30,19,23,56,56,0.0013345088809728622,6.0102691350039095e-05,0.00023996541858650744,D_V_43222,D,V,43222,chck_100M
42,249,T,11,"first, the methane created by the closed-loop system can supply between 10 and 1",249,5,16,19,36,36,0.0062357764691114426,0.00016814620175864547,0.0003529246023390442,D_V_43222,D,V,43222,chck_100M
42,249,U,11,"first, the methane created by the closed-loop system can supply between 10 and 1",249,5,16,19,36,36,0.0095457062125206,0.000997583381831646,0.002554953331127763,D_V_43222,D,V,43222,chck_100M
57,2282,T,11,"first, the methane created by the closed-loop system can supply between 10 and 1",2282,20,16,19,36,36,0.07633933424949646,0.0004654799122363329,0.07585326582193375,D_V_43222,D,V,43222,chck_100M
57,2282,U,11,"first, the methane created by the closed-loop system can supply between 10 and 1",2282,20,16,19,36,36,0.00413114856928587,0.004537180531769991,0.00024945518816821277,D_V_43222,D,V,43222,chck_100M
49,1542,T,12,"at the beginning of the antarctic winter, from march to april, weather on king g",1542,15,17,17,33,33,9.8837808764074e-06,0.0011565469903871417,0.03797838091850281,D_V_43222,D,V,43222,chck_100M
49,1542,U,12,"at the beginning of the antarctic winter, from march to april, weather on king g",1542,15,17,17,33,33,1.745846020639874e-05,0.0041341884061694145,0.22624514997005463,D_V_43222,D,V,43222,chck_100M
37,3262,T,13,"this may at first sight seem an easy study area, but school result statistics sh",3262,0,23,19,36,36,0.00279771420173347,0.0008577030966989696,0.017508894205093384,D_V_43222,D,V,43222,chck_100M
37,3262,U,13,"this may at first sight seem an easy study area, but school result statistics sh",3262,0,23,19,36,36,0.00022227849694900215,0.00010515403118915856,0.0005242089391686022,D_V_43222,D,V,43222,chck_100M
53,1172,T,13,"this may at first sight seem an easy study area, but school result statistics sh",1172,16,23,19,36,36,0.004020052962005138,2.618166217871476e-05,0.0739254578948021,D_V_43222,D,V,43222,chck_100M
53,1172,U,13,"this may at first sight seem an easy study area, but school result statistics sh",1172,16,23,19,36,36,9.43192935665138e-05,4.714042916020844e-06,0.06503774225711823,D_V_43222,D,V,43222,chck_100M
50,249,T,14,"jane edwards, programme leader mental health, deakin university, australia jane ",249,8,23,16,41,41,0.00037205967237241566,1.9145416445098817e-05,0.003384314477443695,D_V_43222,D,V,43222,chck_100M
50,249,U,14,"jane edwards, programme leader mental health, deakin university, australia jane ",249,8,23,16,41,41,0.02084449678659439,0.0003808788605965674,0.0072369505651295185,D_V_43222,D,V,43222,chck_100M
55,3704,T,14,"jane edwards, programme leader mental health, deakin university, australia jane ",3704,13,23,16,41,41,0.04313085973262787,0.0005669616512022913,0.0010780374286696315,D_V_43222,D,V,43222,chck_100M
55,3704,U,14,"jane edwards, programme leader mental health, deakin university, australia jane ",3704,13,23,16,41,41,0.07526618242263794,0.0016101470682770014,0.0009366611484438181,D_V_43222,D,V,43222,chck_100M
47,5639,T,15,"behind the rustic log exteriors, however, a high-tech project is underway as mon",5639,0,32,24,46,46,0.00041473741293884814,2.301065978826955e-05,0.04449011757969856,D_V_43222,D,V,43222,chck_100M
47,5639,U,15,"behind the rustic log exteriors, however, a high-tech project is underway as mon",5639,0,32,24,46,46,4.7534889745293185e-05,3.842677688226104e-05,0.02667488530278206,D_V_43222,D,V,43222,chck_100M
50,1123,T,16,"nicolaus seefeld, an archaeologist at the university of bonn in germany, stumble",1123,0,23,21,49,49,0.008671745657920837,0.0006915353587828577,0.00469917431473732,D_V_43222,D,V,43222,chck_100M
50,1123,U,16,"nicolaus seefeld, an archaeologist at the university of bonn in germany, stumble",1123,0,23,21,49,49,0.033558472990989685,0.056294914335012436,0.0007857335149310529,D_V_43222,D,V,43222,chck_100M
81,249,T,16,"nicolaus seefeld, an archaeologist at the university of bonn in germany, stumble",249,31,23,21,49,49,0.011055316776037216,8.073586650425568e-05,0.0027382022235542536,D_V_43222,D,V,43222,chck_100M
81,249,U,16,"nicolaus seefeld, an archaeologist at the university of bonn in germany, stumble",249,31,23,21,49,49,0.013359886594116688,0.0013626309810206294,0.004612589720636606,D_V_43222,D,V,43222,chck_100M
55,249,T,17,a recent study conducted by the georgetown university medical center in washingt,249,10,26,20,44,44,0.7016292214393616,0.0003339558024890721,0.00227382592856884,D_V_43222,D,V,43222,chck_100M
55,249,U,17,a recent study conducted by the georgetown university medical center in washingt,249,10,26,20,44,44,0.029518097639083862,0.0012895435793325305,0.0174806397408247,D_V_43222,D,V,43222,chck_100M
81,4424,T,18,the author bases the book on her research and gardening at the 576-acre old worl,4424,24,30,23,56,56,0.42774835228919983,7.384242780972272e-05,0.004942963365465403,D_V_43222,D,V,43222,chck_100M
81,4424,U,18,the author bases the book on her research and gardening at the 576-acre old worl,4424,24,30,23,56,56,0.00886856485158205,0.0006063500186428428,0.000467503909021616,D_V_43222,D,V,43222,chck_100M
80,249,T,19,president f.w. de klerk`s government passed a law a few months ago that took eff,249,9,39,35,70,70,0.00014434539480134845,7.03353580320254e-05,0.0035683768801391125,D_V_43222,D,V,43222,chck_100M
80,249,U,19,president f.w. de klerk`s government passed a law a few months ago that took eff,249,9,39,35,70,70,0.007336001377552748,0.0017440113006159663,0.07314503192901611,D_V_43222,D,V,43222,chck_100M
99,249,T,19,president f.w. de klerk`s government passed a law a few months ago that took eff,249,28,39,35,70,70,0.0010797017021104693,0.0005610294174402952,0.3377155661582947,D_V_43222,D,V,43222,chck_100M
99,249,U,19,president f.w. de klerk`s government passed a law a few months ago that took eff,249,28,39,35,70,70,0.0003968676901422441,0.0003327105659991503,0.012395735830068588,D_V_43222,D,V,43222,chck_100M
66,8827,T,20,"under the new law, which takes effect may 1, 2013, all sewage discharges, includ",8827,0,24,31,65,65,0.011781549081206322,0.00038783575291745365,0.19670134782791138,D_V_43222,D,V,43222,chck_100M
66,8827,U,20,"under the new law, which takes effect may 1, 2013, all sewage discharges, includ",8827,0,24,31,65,65,0.013830555602908134,0.0051493896171450615,0.00024282984668388963,D_V_43222,D,V,43222,chck_100M
100,15896,T,20,"under the new law, which takes effect may 1, 2013, all sewage discharges, includ",15896,34,24,31,65,65,0.41249752044677734,0.0018494175747036934,0.01731816679239273,D_V_43222,D,V,43222,chck_100M
100,15896,U,20,"under the new law, which takes effect may 1, 2013, all sewage discharges, includ",15896,34,24,31,65,65,0.006494232453405857,0.0024202121421694756,0.00017631852824706584,D_V_43222,D,V,43222,chck_100M
53,249,T,21,"the cell body or soma, can be known as the ""factory"" of the neuron this is becau",249,3,20,21,49,49,0.07755126804113388,0.00030911850626580417,0.0047509027644991875,D_V_43222,D,V,43222,chck_100M
53,249,U,21,"the cell body or soma, can be known as the ""factory"" of the neuron this is becau",249,3,20,21,49,49,0.017652973532676697,0.00016501505160704255,0.0016329624922946095,D_V_43222,D,V,43222,chck_100M
74,6053,T,21,"the cell body or soma, can be known as the ""factory"" of the neuron this is becau",6053,24,20,21,49,49,0.0006324872956611216,0.0009047447238117456,8.417813432970433e-07,D_V_43222,D,V,43222,chck_100M
74,6053,U,21,"the cell body or soma, can be known as the ""factory"" of the neuron this is becau",6053,24,20,21,49,49,0.0009590436238795519,0.0003483638574834913,1.7894766415338381e-06,D_V_43222,D,V,43222,chck_100M
57,3626,T,22,in january 1782 rutledge resigned the governorship and became a member of the lo,3626,15,21,16,41,41,0.004568025004118681,0.0007167052244767547,0.007502260152250528,D_V_43222,D,V,43222,chck_100M
57,3626,U,22,in january 1782 rutledge resigned the governorship and became a member of the lo,3626,15,21,16,41,41,0.0017582554137334228,0.001286871382035315,0.002972519723698497,D_V_43222,D,V,43222,chck_100M
64,4930,T,22,in january 1782 rutledge resigned the governorship and became a member of the lo,4930,22,21,16,41,41,0.0016517771873623133,8.458669617539272e-05,0.020237522199749947,D_V_43222,D,V,43222,chck_100M
64,4930,U,22,in january 1782 rutledge resigned the governorship and became a member of the lo,4930,22,21,16,41,41,0.0003177229955326766,0.00025246437871828675,0.005071550607681274,D_V_43222,D,V,43222,chck_100M
41,1123,T,23,the defence system was formed gradually.archaeologists believed that the predece,1123,0,19,15,40,40,0.00014010425365995616,0.00012152209819760174,0.0007013451540842652,D_V_43222,D,V,43222,chck_100M
41,1123,U,23,the defence system was formed gradually.archaeologists believed that the predece,1123,0,19,15,40,40,8.513433567713946e-05,0.0012967216316610575,0.011282246559858322,D_V_43222,D,V,43222,chck_100M
50,249,T,23,the defence system was formed gradually.archaeologists believed that the predece,249,9,19,15,40,40,0.2686379551887512,0.05148953199386597,0.09056993573904037,D_V_43222,D,V,43222,chck_100M
50,249,U,23,the defence system was formed gradually.archaeologists believed that the predece,249,9,19,15,40,40,0.0010885377414524555,0.02398849092423916,0.0902009904384613,D_V_43222,D,V,43222,chck_100M
102,381,T,25,"mahatma karamchand gandhi, born on october 2, 1869, in india was raised in a mer",381,37,30,25,64,64,0.1527843177318573,0.0003645092365331948,0.0017669721273705363,D_V_43222,D,V,43222,chck_100M
102,381,U,25,"mahatma karamchand gandhi, born on october 2, 1869, in india was raised in a mer",381,37,30,25,64,64,0.025514669716358185,0.0010185686405748129,0.011580632999539375,D_V_43222,D,V,43222,chck_100M
77,3626,T,26,"on november 3, 1899, he became a member of the crew of the gunboat, uss helena, ",3626,12,23,25,64,64,0.25738319754600525,7.739901047898456e-05,0.20128285884857178,D_V_43222,D,V,43222,chck_100M
77,3626,U,26,"on november 3, 1899, he became a member of the crew of the gunboat, uss helena, ",3626,12,23,25,64,64,0.002015058184042573,0.03192433342337608,0.040333688259124756,D_V_43222,D,V,43222,chck_100M
92,5824,T,26,"on november 3, 1899, he became a member of the crew of the gunboat, uss helena, ",5824,27,23,25,64,64,0.1210712194442749,0.0020279157906770706,0.1651725322008133,D_V_43222,D,V,43222,chck_100M
92,5824,U,26,"on november 3, 1899, he became a member of the crew of the gunboat, uss helena, ",5824,27,23,25,64,64,0.001457460573874414,0.006694082636386156,0.013602865859866142,D_V_43222,D,V,43222,chck_100M
61,811,T,27,"unfortunately, the contagious period for chickenpox is 1 to 2 days before the ap",811,0,29,32,60,60,0.004020683001726866,0.006139821372926235,0.0024039922282099724,D_V_43222,D,V,43222,chck_100M
61,811,U,27,"unfortunately, the contagious period for chickenpox is 1 to 2 days before the ap",811,0,29,32,60,60,4.664052903535776e-05,0.010201804339885712,0.009364835917949677,D_V_43222,D,V,43222,chck_100M
87,369,T,27,"unfortunately, the contagious period for chickenpox is 1 to 2 days before the ap",369,26,29,32,60,60,0.09173402935266495,0.00035105779534205794,0.270620733499527,D_V_43222,D,V,43222,chck_100M
87,369,U,27,"unfortunately, the contagious period for chickenpox is 1 to 2 days before the ap",369,26,29,32,60,60,0.00019608964794315398,0.0028162633534520864,0.04243343695998192,D_V_43222,D,V,43222,chck_100M
61,684,T,28,"therefore, control and security are paramount. - your business is part of an ind",684,8,28,34,52,52,0.04724222794175148,0.0002997311530634761,0.043376900255680084,D_V_43222,D,V,43222,chck_100M
61,684,U,28,"therefore, control and security are paramount. - your business is part of an ind",684,8,28,34,52,52,0.0016957608750090003,0.0001894067827379331,0.04158911854028702,D_V_43222,D,V,43222,chck_100M
82,15886,T,28,"therefore, control and security are paramount. - your business is part of an ind",15886,29,28,34,52,52,0.03694336116313934,0.005882780067622662,0.0008170980145223439,D_V_43222,D,V,43222,chck_100M
82,15886,U,28,"therefore, control and security are paramount. - your business is part of an ind",15886,29,28,34,52,52,0.002320768777281046,0.03864956274628639,0.00033808202715590596,D_V_43222,D,V,43222,chck_100M
68,3348,T,29,"the study, using molecular biological approaches and long-term alcohol feeding o",3348,2,34,31,65,65,0.00042953144293278456,6.425748870242387e-05,0.37407639622688293,D_V_43222,D,V,43222,chck_100M
68,3348,U,29,"the study, using molecular biological approaches and long-term alcohol feeding o",3348,2,34,31,65,65,0.0004544240655377507,0.00040046294452622533,0.12378117442131042,D_V_43222,D,V,43222,chck_100M
94,8411,T,29,"the study, using molecular biological approaches and long-term alcohol feeding o",8411,28,34,31,65,65,0.14053815603256226,0.06669019907712936,2.909359500335995e-05,D_V_43222,D,V,43222,chck_100M
94,8411,U,29,"the study, using molecular biological approaches and long-term alcohol feeding o",8411,28,34,31,65,65,0.09228254854679108,0.18879647552967072,6.878722342662513e-05,D_V_43222,D,V,43222,chck_100M
30,5572,T,30,beneath the portrait is the year 1869 signifying the date the city was incorpora,5572,7,9,14,22,22,0.011910645291209221,0.0019743789453059435,0.00036530676879920065,D_V_43222,D,V,43222,chck_100M
30,5572,U,30,beneath the portrait is the year 1869 signifying the date the city was incorpora,5572,7,9,14,22,22,6.38888668618165e-05,0.00010612190089887008,4.909153358312324e-05,D_V_43222,D,V,43222,chck_100M
38,378,T,30,beneath the portrait is the year 1869 signifying the date the city was incorpora,378,15,9,14,22,22,0.038060713559389114,0.0013217261293902993,0.031249424442648888,D_V_43222,D,V,43222,chck_100M
38,378,U,30,beneath the portrait is the year 1869 signifying the date the city was incorpora,378,15,9,14,22,22,0.0012191899586468935,0.13405874371528625,0.033694226294755936,D_V_43222,D,V,43222,chck_100M
43,3626,T,32,"1996 -the college became a part of the texas a&m system on september 1, 1996
on ",3626,13,6,16,29,29,0.17354193329811096,4.7399968025274575e-05,0.16473987698554993,D_V_43222,D,V,43222,chck_100M
43,3626,U,32,"1996 -the college became a part of the texas a&m system on september 1, 1996
on ",3626,13,6,16,29,29,0.0009114366257563233,0.0002666670479811728,0.027577560395002365,D_V_43222,D,V,43222,chck_100M
26,1767,T,33,lightning may also be produced in snowstorms or in ash clouds created by volcani,1767,4,13,11,21,21,0.001224928884766996,0.00017597913392819464,0.0033843484707176685,D_V_43222,D,V,43222,chck_100M
26,1767,U,33,lightning may also be produced in snowstorms or in ash clouds created by volcani,1767,4,13,11,21,21,0.0015333587070927024,0.0033358903601765633,0.002035396406427026,D_V_43222,D,V,43222,chck_100M
38,1554,T,35,nasa's mars program suffered deep cuts in president barack obama's proposed 2013,1554,9,17,17,28,28,0.04518002271652222,0.0017617535777390003,0.0026083674747496843,D_V_43222,D,V,43222,chck_100M
38,1554,U,35,nasa's mars program suffered deep cuts in president barack obama's proposed 2013,1554,9,17,17,28,28,0.021388690918684006,0.0026134264189749956,0.0002626889618113637,D_V_43222,D,V,43222,chck_100M
27,2246,T,36,"in the mother country, one day in that same cold december a baby girl was born a",2246,1,14,7,25,25,0.016520921140909195,0.014713563024997711,0.028910763561725616,D_V_43222,D,V,43222,chck_100M
27,2246,U,36,"in the mother country, one day in that same cold december a baby girl was born a",2246,1,14,7,25,25,0.015105213038623333,0.03598230332136154,0.030225960537791252,D_V_43222,D,V,43222,chck_100M
40,4709,T,37,"schlitz was born in mainz, germany where he received his education and also a fo",4709,13,14,14,26,26,0.06753376871347427,0.00040435526170767844,0.0638439953327179,D_V_43222,D,V,43222,chck_100M
40,4709,U,37,"schlitz was born in mainz, germany where he received his education and also a fo",4709,13,14,14,26,26,0.000734965899027884,5.864694685442373e-05,0.05863296985626221,D_V_43222,D,V,43222,chck_100M
44,901,T,37,"schlitz was born in mainz, germany where he received his education and also a fo",901,17,14,14,26,26,0.3221611976623535,0.0014352700673043728,0.37900063395500183,D_V_43222,D,V,43222,chck_100M
44,901,U,37,"schlitz was born in mainz, germany where he received his education and also a fo",901,17,14,14,26,26,0.0008231278043240309,0.0034614084288477898,0.1727864146232605,D_V_43222,D,V,43222,chck_100M
42,2313,T,38,the commonly encountered mold infections in organ transplant patients in the sta,2313,10,17,16,31,31,0.007131616584956646,0.0002196185232605785,0.04632403329014778,D_V_43222,D,V,43222,chck_100M
42,2313,U,38,the commonly encountered mold infections in organ transplant patients in the sta,2313,10,17,16,31,31,0.004304685164242983,0.0002918252139352262,0.00669825216755271,D_V_43222,D,V,43222,chck_100M
43,2368,T,38,the commonly encountered mold infections in organ transplant patients in the sta,2368,11,17,16,31,31,0.029970023781061172,0.0038434485904872417,0.0037447360809892416,D_V_43222,D,V,43222,chck_100M
43,2368,U,38,the commonly encountered mold infections in organ transplant patients in the sta,2368,11,17,16,31,31,0.001784730120562017,0.08408265560865402,0.0026610048953443766,D_V_43222,D,V,43222,chck_100M
35,6840,T,40,"in march, rommel led an attack on the egyptian border, where a stalemate develop",6840,5,17,16,29,29,0.24271568655967712,0.0002441612887196243,0.16909974813461304,D_V_43222,D,V,43222,chck_100M
35,6840,U,40,"in march, rommel led an attack on the egyptian border, where a stalemate develop",6840,5,17,16,29,29,0.001303896657191217,0.0025230194441974163,0.007386737037450075,D_V_43222,D,V,43222,chck_100M
43,9506,T,40,"in march, rommel led an attack on the egyptian border, where a stalemate develop",9506,13,17,16,29,29,0.6323012709617615,0.00011611792433541268,0.00014381203800439835,D_V_43222,D,V,43222,chck_100M
43,9506,U,40,"in march, rommel led an attack on the egyptian border, where a stalemate develop",9506,13,17,16,29,29,0.2617920935153961,0.018271267414093018,0.0004844075010623783,D_V_43222,D,V,43222,chck_100M
35,249,T,41,the government of the country is called the devolved government in a constitutio,249,6,13,17,28,28,0.019819047302007675,0.0005646336358040571,0.027640797197818756,D_V_43222,D,V,43222,chck_100M
35,249,U,41,the government of the country is called the devolved government in a constitutio,249,6,13,17,28,28,0.014219699427485466,0.0006995049770921469,0.003707494121044874,D_V_43222,D,V,43222,chck_100M
45,8681,T,41,the government of the country is called the devolved government in a constitutio,8681,16,13,17,28,28,0.38254204392433167,0.0002420401287963614,0.0005553502705879509,D_V_43222,D,V,43222,chck_100M
45,8681,U,41,the government of the country is called the devolved government in a constitutio,8681,16,13,17,28,28,0.4447847902774811,3.989753167843446e-05,0.0015756700886413455,D_V_43222,D,V,43222,chck_100M
29,552,T,42,experts say more than six million children with more than one disability are not,552,3,14,7,25,25,0.005005287006497383,0.00018672063015401363,0.6195960640907288,D_V_43222,D,V,43222,chck_100M
29,552,U,42,experts say more than six million children with more than one disability are not,552,3,14,7,25,25,0.0061805155128240585,0.00021481400472112,0.06376588344573975,D_V_43222,D,V,43222,chck_100M
38,4267,T,42,experts say more than six million children with more than one disability are not,4267,12,14,7,25,25,0.0080634243786335,0.0005458227242343128,0.0020007030107080936,D_V_43222,D,V,43222,chck_100M
38,4267,U,42,experts say more than six million children with more than one disability are not,4267,12,14,7,25,25,0.005833329167217016,0.00042576881241984665,0.0020597672555595636,D_V_43222,D,V,43222,chck_100M
35,11915,T,43,carleton was a british military officer who served with distinction during the a,11915,7,19,15,27,27,0.048820313066244125,0.0012464275350794196,0.0017276025610044599,D_V_43222,D,V,43222,chck_100M
35,11915,U,43,carleton was a british military officer who served with distinction during the a,11915,7,19,15,27,27,0.0073224506340920925,0.0019820816814899445,0.000682156824041158,D_V_43222,D,V,43222,chck_100M
44,11906,T,43,carleton was a british military officer who served with distinction during the a,11906,16,19,15,27,27,0.030967187136411667,9.606419189367443e-05,0.0433068685233593,D_V_43222,D,V,43222,chck_100M
44,11906,U,43,carleton was a british military officer who served with distinction during the a,11906,16,19,15,27,27,0.004632464610040188,7.809476664988324e-05,0.00022903103672433645,D_V_43222,D,V,43222,chck_100M
44,3085,T,44,a government report released then called for 2.7 million people in shantytowns t,3085,4,19,16,39,39,0.00018770505266729742,0.0026028261054307222,5.5137254094006494e-05,D_V_43222,D,V,43222,chck_100M
44,3085,U,44,a government report released then called for 2.7 million people in shantytowns t,3085,4,19,16,39,39,8.266946679214016e-05,0.0010088692652061582,1.737021011649631e-05,D_V_43222,D,V,43222,chck_100M
56,8271,T,44,a government report released then called for 2.7 million people in shantytowns t,8271,16,19,16,39,39,0.12038890272378922,1.7338858015136793e-05,0.15069638192653656,D_V_43222,D,V,43222,chck_100M
56,8271,U,44,a government report released then called for 2.7 million people in shantytowns t,8271,16,19,16,39,39,0.005953882820904255,0.00010015457519330084,0.023062538355588913,D_V_43222,D,V,43222,chck_100M
72,2863,T,45,this program was the result of two legislative measures: proposition 215 and sen,2863,28,14,18,43,43,0.009898807853460312,0.0005540290148928761,0.0012723980471491814,D_V_43222,D,V,43222,chck_100M
72,2863,U,45,this program was the result of two legislative measures: proposition 215 and sen,2863,28,14,18,43,43,0.0009971793042495847,0.000304167449939996,0.0011357252951711416,D_V_43222,D,V,43222,chck_100M
31,3583,T,46,"as a result, the amount of money that she used for music classes in may was $120",3583,1,10,17,29,29,0.02980850636959076,0.006423678714782,0.043257635086774826,D_V_43222,D,V,43222,chck_100M
31,3583,U,46,"as a result, the amount of money that she used for music classes in may was $120",3583,1,10,17,29,29,0.004944628570228815,0.003460423555225134,0.0774182602763176,D_V_43222,D,V,43222,chck_100M
40,1463,T,47,"this region includes eight states and two provinces, and is home to hundreds of ",1463,11,17,14,28,28,0.34380704164505005,0.0005169323412701488,8.886566502042115e-05,D_V_43222,D,V,43222,chck_100M
40,1463,U,47,"this region includes eight states and two provinces, and is home to hundreds of ",1463,11,17,14,28,28,0.020477235317230225,0.0003005436738021672,0.00721289636567235,D_V_43222,D,V,43222,chck_100M
41,15959,T,47,"this region includes eight states and two provinces, and is home to hundreds of ",15959,12,17,14,28,28,0.6394205689430237,7.288093911483884e-05,0.006618095096200705,D_V_43222,D,V,43222,chck_100M
